node,page_rank,betweenness,closeness,indegree,outdegree
intl/icu/source/tools/gencolusb/verify_uset,1.193,0.0,1.647,0,11
dom/bindings/ErrorIPCUtils,1.193,0.0,1.647,0,3
dom/audiochannel/AudioChannelService,2.754,21581.374,1.648,27,28
nsIScreen,1.193,0.0,0.436,0,0
mozilla/dom/MediaKeys,1.193,0.0,0.436,0,0
security/nss/lib/freebl/mpi/mpi,67.288,623879.203,1.647,85,13
gfx/2d/ScaledFontCairo,1.382,5115.29,1.647,2,7
nsIDataStore,1.193,0.0,0.436,0,0
widget/gonk/nativewindow/GonkNativeWindowICS,1.193,0.0,1.648,0,28
media/libjpeg/jctrans,1.697,1175.325,1.647,3,13
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.369,16.636,1.647,9,2
ipc/chromium/src/third_party/libevent/test/regress_iocp,1.193,0.0,1.648,0,26
nsIRDFXMLSource,1.193,0.0,0.436,0,0
nsIDOMHTMLHtmlElement,1.193,0.0,0.436,0,0
gfx/2d/SourceSurfaceCG,3.822,19338.265,1.648,17,13
dom/telephony/ipc/TelephonyIPCSerializer,1.193,0.0,1.648,0,3
mfbt/tests/TestIntegerPrintfMacros,1.193,0.0,1.647,0,1
modules/freetype2/src/cache/ftcsbits,1.569,5102.35,1.647,4,17
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,1.327,3442.25,1.648,1,4
js/public/TraceableVector,1.193,0.0,0.436,0,0
mozilla/gfx/MatrixFwd,1.193,0.0,0.436,0,0
python/mozbuild/mozbuild/test/frontend/data/generated-sources/d,1.193,0.0,0.436,0,0
build/stlport/stlport/stl/pointers/_tools,35.813,18796.468,1.647,5,1
media/webrtc/trunk/tools/gyp/test/rules/src/subdir3/program,1.193,0.0,0.436,0,0
accessible/generic/ARIAGridAccessible,5.076,42049.117,1.648,6,26
AccessibleStates,1.193,0.0,0.436,0,0
js/xpconnect/src/XPCForwards,1.264,0.0,1.647,1,0
python/mozbuild/mozbuild/test/backend/data/exports/pprio,1.193,0.0,0.436,0,0
mozilla/css/Loader,1.193,0.0,0.436,0,0
mozilla/dom/BluetoothMapMessageUpdateEvent,1.193,0.0,0.436,0,0
memory/jemalloc/src/test/unit/prof_gdump,1.193,0.0,1.647,0,1
accessible/base/ARIAMap,6.58,10510.53,1.648,28,11
dom/media/platforms/ffmpeg/ffmpeg57/include/libavcodec/version,1.849,3.833,1.647,3,2
gfx/skia/skia/src/pipe/SkGPipeWrite,1.423,1610.385,1.648,3,52
media/webrtc/trunk/webrtc/test/testsupport/fileutils,12.337,2634.553,1.648,106,6
gfx/skia/skia/src/utils/SkMeshUtils,1.193,0.0,1.648,0,14
media/webrtc/trunk/webrtc/system_wrappers/source/rw_lock_win,1.514,0.0,1.647,1,4
mozilla/dom/GeneratedEventList,1.193,0.0,0.436,0,0
js/src/gc/RootMarking,8.281,25535.253,1.648,4,30
gfx/skia/skia/include/core/SkDither,2.994,16129.388,1.648,13,8
intl/icu/source/common/uinvchar,6.358,18891.344,1.648,62,14
js/src/jsapi-tests/testUncaughtError,1.193,0.0,1.647,0,5
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/fix/source/pitch_estimator_c,1.438,23.0,1.648,1,6
dom/plugins/ipc/ChildTimer,1.375,7.791,1.648,2,8
mozilla/dom/quota/QuotaCommon,1.193,0.0,0.436,0,0
gfx/angle/src/libANGLE/renderer/d3d/d3d9/Renderer9,2.788,32955.226,1.648,14,87
intl/uconv/ucvlatin/8859-16,1.193,0.0,0.436,0,0
media/openmax_dl/dl/sp/src/omxSP_FFTInit_C_FC32,1.193,0.0,1.647,0,5
media/libvpx/vp8/decoder/detokenize,1.415,6946.994,1.648,4,11
xpcom/ds/nsHashPropertyBag,2.496,17770.438,1.648,22,19
media/webrtc/trunk/webrtc/base/scopedptrcollection_unittest,1.193,0.0,1.647,0,4
X11/Xmd,1.193,0.0,0.436,0,0
gfx/vr/gfxVROculus050,1.243,0.0,1.648,1,21
asm/ioctls,1.193,0.0,0.436,0,0
mozilla/_ipdltest/PTestDataStructuresSubChild,1.193,0.0,0.436,0,0
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/EncodeDecodeTest,1.401,509.591,1.648,3,21
security/nss/lib/util/base64,3.009,20.982,1.647,22,2
toolkit/crashreporter/google-breakpad/src/common/unique_string,11.833,5308.03,1.648,19,3
dom/media/gmp/gmp-api/gmp-storage,9.107,0.0,1.647,9,1
build/stlport/stlport/stddef,1590.962,10364182.828,1.648,309,4
usr/include/malloc,1.193,0.0,0.436,0,0
media/webrtc/trunk/webrtc/p2p/base/relayport,1.578,876.112,1.647,8,28
js/src/ctypes/libffi/testsuite/libffi.call/nested_struct9,6.264,1035.173,1.647,14,2
sys/videoio,1.193,0.0,0.436,0,0
json/reader,1.193,0.0,0.436,0,0
js/xpconnect/src/XPCShellImpl,1.699,8332.486,1.648,1,52
