file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
content/media/webaudio/AudioNode.cpp,420,2,24,3,0.15
content/media/webaudio/AudioNode.h,284,1,29,1,0.39
content/media/AudioNodeStream.h,201,1,12,0,0.41
content/media/AudioNodeEngine.h,376,1,33,1,0.55
xpcom/glue/nsCycleCollectionParticipant.h,754,1,17,1,0.66
xpcom/glue/nsISupportsImpl.h,1031,1,29,1,1.58
xpcom/base/nscore.h,311,0,0,0,96.00
build/stlport/stlport/stl/config/features.h,1079,0,0,0,29.40
media/libyuv/util/compare.cc,63,10,1,3,0.21
media/libyuv/include/libyuv/basic_types.h,132,0,0,0,2.50
media/libyuv/include/libyuv/compare.h,73,0,0,0,0.38
media/libyuv/include/libyuv/version.h,16,0,0,0,0.00
xpcom/threads/nsEnvironment.h,36,1,1,0,0.46
xpcom/glue/nsID.h,141,1,1,0,3.39
xpcom/glue/nsStringAPI.h,1458,1,178,1,0.31
xpcom/string/public/nsXPCOMStrings.h,748,1,6,0,4.93
nsprpub/pr/include/prlog.h,221,0,0,0,5.67
xpcom/glue/nsTArray.h,1847,1,150,3,0.56
xpcom/glue/nsDebug.h,423,1,1,0,8.73
gfx/skia/trunk/src/gpu/GrInOrderDrawBuffer.h,254,1,5,0,0.31
gfx/skia/trunk/src/gpu/GrDrawTarget.h,915,2,47,3,1.38
gfx/skia/trunk/src/gpu/GrAllocPool.h,60,1,3,0,0.77
gfx/skia/trunk/src/gpu/GrAllocator.h,268,3,24,3,0.63
gfx/skia/trunk/src/gpu/GrPath.h,47,1,5,0,0.27
gfx/skia/trunk/include/core/SkClipStack.h,451,2,29,4,0.71
gfx/skia/trunk/include/core/SkTemplates.h,489,2,64,5,0.40
gfx/skia/trunk/include/core/SkTypes.h,660,2,38,5,0.99
gfx/skia/trunk/include/core/SkPostConfig.h,394,0,0,0,0.00
gfx/skia/trunk/src/views/SkViewInflate.cpp,145,3,10,3,0.10
gfx/skia/trunk/include/views/SkViewInflate.h,71,0,0,0,0.92
gfx/skia/trunk/include/views/SkView.h,405,1,27,1,0.87
gfx/skia/trunk/include/core/SkPreConfig.h,241,0,0,0,0.00
ipc/chromium/src/base/base_paths_win.h,42,0,0,0,1.50
media/webrtc/trunk/webrtc/modules/video_coding/main/source/rtt_filter.h,70,0,0,0,0.81
media/webrtc/trunk/webrtc/typedefs.h,193,0,0,0,0.00
security/nss/lib/pkcs12/pkcs12t.h,366,0,0,0,0.36
security/nss/lib/util/seccomon.h,92,0,0,0,0.69
security/nss/lib/util/secoid.h,141,0,0,0,2.93
security/nss/lib/certdb/cert.h,1675,0,0,0,1.42
security/nss/lib/cryptohi/key.h,12,0,0,0,0.00
nsprpub/lib/ds/plarena.h,253,0,0,0,3.87
security/nss/lib/pkcs7/secpkcs7.h,610,0,0,0,3.01
security/nss/lib/util/secdig.h,103,0,0,0,4.20
media/webrtc/trunk/tools/gyp/test/builddir/src/subdir2/subdir3/subdir4/prog4.c,10,1,1,0,0.00
media/webrtc/trunk/webrtc/modules/audio_coding/main/acm2/acm_opus.h,54,0,0,0,0.52
media/webrtc/trunk/webrtc/common_audio/resampler/include/resampler.h,65,1,1,0,0.64
media/webrtc/trunk/webrtc/modules/audio_coding/main/acm2/acm_generic_codec.h,920,1,6,0,5.62
image/src/imgLoader.cpp,2581,3,125,5,0.18
image/public/ImageLogging.h,175,0,0,0,0.00
xpcom/string/public/nsPrintfCString.h,42,1,1,0,1.06
image/src/imgLoader.h,487,1,21,1,0.16
image/src/imgRequestProxy.h,255,1,7,1,0.39
xpcom/glue/nsCOMPtr.h,1667,1,99,1,0.36
content/base/public/nsContentUtils.h,2379,1,29,1,1.55
content/base/src/nsCrossSiteListenerProxy.h,86,0,0,0,0.15
netwerk/base/public/nsNetUtil.h,2402,4,98,4,0.20
netwerk/mime/nsMimeTypes.h,214,0,0,0,0.00
xpcom/io/nsStreamUtils.h,267,0,0,0,2.62
xpcom/ds/nsCRT.h,170,1,17,1,0.89
content/base/public/nsIDocument.h,2748,1,140,1,0.89
image/src/Image.h,232,1,9,0,1.00
image/src/DiscardTracker.h,140,0,0,0,1.48
xpcom/glue/nsISupportsUtils.h,145,3,2,1,2.79
xpcom/base/nsError.h,259,1,4,0,2.72
