node,page_rank,betweenness,closeness,indegree,outdegree
security/nss/lib/pk11wrap/pk11util,2.628,37264.76,1.762,25,27
security/nss/cmd/libpkix/pkix_pl/module/test_socket,1.309,34.206,1.762,1,17
dom/bindings/ErrorIPCUtils,1.293,0.0,1.762,0,2
nsPILoadGroupInternal,1.293,0.0,0.471,0,0
dom/audiochannel/AudioChannelService,3.762,68188.538,1.762,24,27
build/stlport/stlport/stl/_cwchar,396.606,1780631.365,1.762,20,7
mozilla/dom/MediaKeys,1.293,0.0,0.471,0,0
media/libstagefright/system/core/libcutils/strdup16to8,1.293,0.0,1.762,0,1
security/nss/lib/freebl/mpi/mpi,73.359,573574.656,1.762,85,13
layout/xul/nsStackFrame,1.354,0.0,1.762,1,19
mozilla/ipc/MessageLink,1.293,0.0,0.471,0,0
gfx/2d/ScaledFontCairo,1.532,337793.564,1.762,2,7
nsIDataStore,1.293,0.0,0.471,0,0
js/src/jswatchpoint,7.824,53.331,1.762,10,18
toolkit/crashreporter/google-breakpad/src/common/stabs_to_module_unittest,3.323,77624.122,1.762,11,9
gfx/skia/trunk/src/animator/SkAnimatorScript2,1.508,297.902,1.762,3,30
toolkit/components/url-classifier/LookupCache,1.54,1489.014,1.762,5,24
dom/media/gmp/GMPDecryptorProxy,1.538,30.744,1.762,4,3
mozilla/dom/SVGFEDistantLightElementBinding,1.293,0.0,0.471,0,0
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.724,566.071,1.762,9,2
media/webrtc/trunk/webrtc/modules/rtp_rtcp/source/rtp_format_video_generic,1.865,1886.931,1.762,5,8
nsprpub/pr/include/prmon,13.879,1625.97,1.762,30,3
nsIRDFXMLSource,1.293,0.0,0.471,0,0
media/webrtc/trunk/webrtc/base/safe_conversions,1.293,0.0,1.762,0,3
netwerk/sctp/src/netinet/sctp_pcb,5.061,104451.535,1.762,19,23
media/omx-plugin/include/gb/utils/String8,5.66,165588.782,1.762,35,1
gfx/2d/SourceSurfaceCG,3.171,33081.835,1.762,13,11
dom/telephony/ipc/TelephonyIPCSerializer,1.293,0.0,1.762,0,3
mfbt/tests/TestIntegerPrintfMacros,1.293,0.0,1.762,0,1
media/libpng/pngmem,3.482,0.278,1.762,8,7
modules/freetype2/src/cache/ftcsbits,1.7,3758.448,1.762,4,17
nsIScreen,1.293,0.0,0.471,0,0
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,1.836,6220.833,1.762,5,8
security/nss/lib/freebl/sha256,2.492,0.111,1.762,3,1
d3d10_1,1.293,0.0,0.471,0,0
security/nss/lib/pkcs7/secmime,1.419,928.89,1.762,4,26
media/libyuv/unit_test/scale_test,1.293,0.0,1.762,0,10
nsIApplicationReputation,1.293,0.0,0.471,0,0
intl/icu/source/i18n/tzfmt,1.358,53344.94,1.762,2,52
dom/plugins/ipc/PluginStreamChild,1.662,0.0,1.762,3,5
toolkit/crashreporter/google-breakpad/src/client/windows/crash_generation/client_info,2.849,935.001,1.762,10,5
python/mozbuild/mozbuild/test/frontend/data/generated-sources/d,1.293,0.0,0.471,0,0
build/stlport/stlport/stl/pointers/_tools,36.81,17486.067,1.762,5,1
gfx/cairo/cairo/src/cairo-image-surface,13.482,358746.96,1.762,49,53
media/webrtc/trunk/tools/gyp/test/rules/src/subdir3/program,1.293,0.0,0.471,0,0
other-licenses/7zstub/src/7zip/Archive/7z/7zCompressionMode,1.358,0.0,1.762,1,6
AccessibleStates,1.293,0.0,0.471,0,0
mozilla/dom/FragmentOrElement,1.293,0.0,0.471,0,0
js/xpconnect/src/XPCForwards,1.373,0.0,1.762,1,0
python/mozbuild/mozbuild/test/backend/data/exports/pprio,1.293,0.0,0.471,0,0
security/manager/ssl/src/nsDataSignatureVerifier,15.787,1820367.45,1.762,148,43
dom/base/DOMRect,2.002,748.77,1.762,5,19
mozilla/css/Loader,1.293,0.0,0.471,0,0
build/stlport/src/monetary,1.293,0.0,1.762,0,3
security/nss/cmd/signver/signver,1.293,0.0,1.762,0,29
