node,page_rank,betweenness,closeness,indegree,outdegree
content/media/webspeech/recognition/SpeechRecognitionResult,1.551,318.23,1.869,3,18
security/nss/lib/pk11wrap/pk11util,2.694,56556.811,1.869,24,27
mozilla/HalScreenConfiguration,1.336,0.0,0.486,0,0
nsPILoadGroupInternal,1.336,0.0,0.486,0,0
dom/audiochannel/AudioChannelService,2.925,1150136.831,1.869,23,28
build/stlport/stlport/stl/_cwchar,399.262,3274829.267,1.869,20,7
mozilla/dom/MediaKeys,1.336,0.0,0.486,0,0
media/libstagefright/system/core/libcutils/strdup16to8,1.336,0.0,1.869,0,1
security/nss/lib/freebl/mpi/mpi,75.603,525178.681,1.869,85,13
media/webrtc/trunk/tools/gyp/test/mac/libraries/subdir/mylib,1.336,0.0,0.486,0,0
mozilla/ipc/MessageLink,1.336,0.0,0.486,0,0
gfx/2d/ScaledFontCairo,1.554,268309.436,1.869,2,8
nsIDataStore,1.336,0.0,0.486,0,0
js/src/jswatchpoint,10.012,281.141,1.869,10,16
toolkit/crashreporter/google-breakpad/src/common/stabs_to_module_unittest,1.336,0.0,1.869,0,9
gfx/skia/trunk/src/animator/SkAnimatorScript2,1.558,297.202,1.869,3,30
toolkit/components/url-classifier/LookupCache,2.999,35788.459,1.869,5,26
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/EncodeDecodeTest,1.452,31.607,1.869,2,22
mozilla/dom/SVGFEDistantLightElementBinding,1.336,0.0,0.486,0,0
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.62,676.876,1.869,8,2
netwerk/base/src/nsURLHelper,40.769,20527.164,1.869,30,19
nsprpub/pr/include/prmon,13.881,1533.23,1.869,29,3
nsIRDFXMLSource,1.336,0.0,0.486,0,0
netwerk/sctp/src/netinet/sctp_pcb,5.298,101923.367,1.869,19,24
media/omx-plugin/include/gb/utils/String8,8.495,19542.287,1.869,49,3
media/stagefright/MPEG4Writer,1.336,0.0,0.486,0,0
gfx/2d/SourceSurfaceCG,4.286,92881.118,1.869,22,9
content/base/src/NodeIterator,1.392,0.0,1.869,1,21
mfbt/tests/TestIntegerPrintfMacros,1.336,0.0,1.869,0,1
dom/xslt/xslt/txFormatNumberFunctionCall,1.463,2912.825,1.869,3,20
modules/freetype2/src/cache/ftcsbits,1.756,3487.288,1.869,4,17
content/base/public/nsIDocumentObserver,6.642,3228.923,1.869,37,9
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,1.901,4007.305,1.869,5,8
security/nss/lib/freebl/sha256,2.555,0.111,1.869,3,1
d3d10_1,1.336,0.0,0.486,0,0
media/libopus/silk/MacroDebug,4.597,0.0,1.869,1,0
media/libyuv/unit_test/scale_test,1.336,0.0,1.869,0,10
nsIApplicationReputation,1.336,0.0,0.486,0,0
intl/icu/source/i18n/tzfmt,1.403,48612.202,1.869,2,52
media/libvpx/vp8/common/arm/dequantize_arm,1.336,0.0,1.869,0,3
toolkit/crashreporter/google-breakpad/src/client/windows/crash_generation/client_info,2.879,85937.402,1.869,10,5
media/webrtc/trunk/webrtc/video/video_send_stream_tests,1.336,0.0,1.869,0,37
build/stlport/stlport/stl/pointers/_tools,36.349,16511.72,1.869,5,1
widget/windows/winrt/MetroInput,1.796,167977.834,1.869,4,28
gfx/cairo/cairo/src/cairo-image-surface,13.764,373811.727,1.869,49,53
media/webrtc/trunk/tools/gyp/test/rules/src/subdir3/program,1.336,0.0,0.486,0,0
content/media/fmp4/ffmpeg/libav54/include/libavutil/log,3.076,13301.326,1.869,5,4
AccessibleStates,1.336,0.0,0.486,0,0
mozilla/dom/FragmentOrElement,1.336,0.0,0.486,0,0
js/xpconnect/src/XPCForwards,1.447,0.0,1.869,2,0
js/xpconnect/src/XPCWrappedNative,1.849,24654.754,1.869,9,52
security/manager/ssl/src/nsDataSignatureVerifier,16.123,2512844.425,1.869,148,44
mozilla/css/Loader,1.336,0.0,0.486,0,0
security/nss/lib/ckfw/capi/ckcapiver,1.336,0.0,1.868,0,1
media/webrtc/signaling/src/sipcc/core/sdp/sdp_config,1.593,10.574,1.869,3,4
dom/ipc/TabContext,1.594,33.317,1.869,4,7
accessible/base/ARIAMap,8.323,9138.861,1.869,45,14
CPlusTest/CPlusTest,1.336,0.0,0.486,0,0
gfx/skia/trunk/src/gpu/GrAllocPool,1.788,0.0,1.869,4,5
intl/icu/source/i18n/dtrule,1.6,0.333,1.869,4,8
tlhelp32,1.336,0.0,0.486,0,0
mozilla/gfx/SharedDIBWin,1.336,0.0,0.486,0,0
