node,page_rank,betweenness,closeness,indegree,outdegree
dom/bindings/ErrorIPCUtils,1.245,0.0,1.694,0,2
dom/audiochannel/AudioChannelService,3.61,31764.522,1.694,27,26
nsIScreen,1.245,0.0,0.453,0,0
mozilla/dom/MediaKeys,1.245,0.0,0.453,0,0
security/nss/lib/freebl/mpi/mpi,70.593,637249.35,1.694,85,13
gfx/2d/ScaledFontCairo,1.442,4469.353,1.694,2,7
nsIDataStore,1.245,0.0,0.453,0,0
widget/gonk/nativewindow/GonkNativeWindowICS,1.245,0.0,1.694,0,27
media/libjpeg/jctrans,1.77,1075.143,1.694,3,13
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.621,600.789,1.694,9,2
ipc/chromium/src/third_party/libevent/test/regress_iocp,1.245,0.0,1.694,0,26
nsIRDFXMLSource,1.245,0.0,0.453,0,0
nsIDOMHTMLHtmlElement,1.245,0.0,0.453,0,0
gfx/2d/SourceSurfaceCG,3.504,98985.361,1.694,17,15
dom/telephony/ipc/TelephonyIPCSerializer,1.245,0.0,1.694,0,3
mfbt/tests/TestIntegerPrintfMacros,1.245,0.0,1.694,0,1
modules/freetype2/src/cache/ftcsbits,1.637,4773.341,1.694,4,17
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,1.766,6832.779,1.694,5,8
js/public/TraceableVector,1.245,0.0,0.453,0,0
python/mozbuild/mozbuild/test/frontend/data/generated-sources/d,1.245,0.0,0.453,0,0
build/stlport/stlport/stl/pointers/_tools,36.634,18032.147,1.694,5,1
media/webrtc/trunk/tools/gyp/test/rules/src/subdir3/program,1.245,0.0,0.453,0,0
AccessibleStates,1.245,0.0,0.453,0,0
js/xpconnect/src/XPCForwards,1.326,0.0,1.694,1,0
python/mozbuild/mozbuild/test/backend/data/exports/pprio,1.245,0.0,0.453,0,0
mozilla/css/Loader,1.245,0.0,0.453,0,0
memory/jemalloc/src/test/unit/prof_gdump,1.245,0.0,1.694,0,1
accessible/base/ARIAMap,6.68,3868.488,1.694,29,12
gfx/skia/skia/src/pipe/SkGPipeWrite,1.485,1628.32,1.694,3,52
