node,page_rank,betweenness,closeness,indegree,outdegree
security/nss/lib/pk11wrap/pk11util,2.607,33768.315,1.768,25,27
security/nss/cmd/libpkix/pkix_pl/module/test_socket,1.316,30.432,1.768,1,17
media/libvpx/vpx/src/vpx_codec,8.774,39046.355,1.768,29,5
nsPILoadGroupInternal,1.301,0.0,0.474,0,0
dom/audiochannel/AudioChannelService,3.053,72616.405,1.769,24,28
build/stlport/stlport/stl/_cwchar,399.737,3024035.133,1.768,20,7
mozilla/dom/MediaKeys,1.301,0.0,0.474,0,0
media/libstagefright/system/core/libcutils/strdup16to8,1.301,0.0,1.768,0,1
security/nss/lib/freebl/mpi/mpi,73.68,565614.364,1.768,85,13
layout/xul/nsStackFrame,1.362,0.0,1.768,1,19
mozilla/ipc/MessageLink,1.301,0.0,0.474,0,0
gfx/2d/ScaledFontCairo,1.536,452825.038,1.768,2,7
nsIDataStore,1.301,0.0,0.474,0,0
js/src/jswatchpoint,8.361,92.672,1.769,10,17
toolkit/crashreporter/google-breakpad/src/common/stabs_to_module_unittest,3.346,84431.542,1.768,11,9
gfx/skia/trunk/src/animator/SkAnimatorScript2,1.517,297.202,1.768,3,30
toolkit/components/url-classifier/LookupCache,1.55,1387.901,1.769,5,23
dom/media/gmp/GMPDecryptorProxy,1.577,36.273,1.768,5,4
mozilla/dom/SVGFEDistantLightElementBinding,1.301,0.0,0.474,0,0
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.739,541.417,1.768,9,2
media/webrtc/trunk/webrtc/modules/rtp_rtcp/source/rtp_format_video_generic,1.876,2733.965,1.769,5,8
nsprpub/pr/include/prmon,13.913,1607.581,1.768,30,3
nsIRDFXMLSource,1.301,0.0,0.474,0,0
media/webrtc/trunk/webrtc/base/safe_conversions,1.301,0.0,1.768,0,3
netwerk/sctp/src/netinet/sctp_pcb,4.984,76766.726,1.769,19,24
media/omx-plugin/include/gb/utils/String8,5.713,60600.398,1.768,35,1
gfx/2d/SourceSurfaceCG,3.95,33654.129,1.768,21,12
dom/telephony/ipc/TelephonyIPCSerializer,1.301,0.0,1.768,0,3
mfbt/tests/TestIntegerPrintfMacros,1.301,0.0,1.768,0,1
media/libpng/pngmem,3.491,0.111,1.768,8,7
modules/freetype2/src/cache/ftcsbits,1.71,3900.044,1.768,4,17
nsIScreen,1.301,0.0,0.474,0,0
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,1.846,6191.058,1.769,5,8
security/nss/lib/freebl/sha256,2.508,0.111,1.768,3,1
d3d10_1,1.301,0.0,0.474,0,0
nsILoadGroup,1.301,0.0,0.474,0,0
media/libyuv/unit_test/scale_test,1.301,0.0,1.768,0,10
nsIApplicationReputation,1.301,0.0,0.474,0,0
intl/icu/source/i18n/tzfmt,1.366,53090.197,1.769,2,52
dom/plugins/ipc/PluginStreamChild,1.621,16.451,1.768,3,6
toolkit/crashreporter/google-breakpad/src/client/windows/crash_generation/client_info,2.81,2972.883,1.768,10,5
