node,page_rank,betweenness,closeness,indegree,outdegree
dom/bindings/ErrorIPCUtils,1.212,0.0,1.659,0,2
dom/audiochannel/AudioChannelService,2.769,25133.046,1.66,27,25
nsIScreen,1.212,0.0,0.443,0,0
mozilla/dom/MediaKeys,1.212,0.0,0.443,0,0
security/nss/lib/freebl/mpi/mpi,68.259,616289.591,1.659,85,13
gfx/2d/ScaledFontCairo,1.404,3918.626,1.66,2,7
nsIDataStore,1.212,0.0,0.443,0,0
widget/gonk/nativewindow/GonkNativeWindowICS,1.212,0.0,1.66,0,27
media/libjpeg/jctrans,1.724,1044.251,1.659,3,13
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.551,1374.273,1.66,9,2
ipc/chromium/src/third_party/libevent/test/regress_iocp,1.212,0.0,1.66,0,26
nsIRDFXMLSource,1.212,0.0,0.443,0,0
nsIDOMHTMLHtmlElement,1.212,0.0,0.443,0,0
gfx/2d/SourceSurfaceCG,3.732,23109.341,1.66,17,15
dom/telephony/ipc/TelephonyIPCSerializer,1.212,0.0,1.66,0,3
mfbt/tests/TestIntegerPrintfMacros,1.212,0.0,1.66,0,1
modules/freetype2/src/cache/ftcsbits,1.594,5110.157,1.66,4,17
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,1.72,7847.58,1.66,5,8
js/public/TraceableVector,1.212,0.0,0.443,0,0
python/mozbuild/mozbuild/test/frontend/data/generated-sources/d,1.212,0.0,0.443,0,0
build/stlport/stlport/stl/pointers/_tools,36.168,19505.74,1.659,5,1
media/webrtc/trunk/tools/gyp/test/rules/src/subdir3/program,1.212,0.0,0.443,0,0
AccessibleStates,1.212,0.0,0.443,0,0
js/xpconnect/src/XPCForwards,1.29,0.0,1.659,1,0
python/mozbuild/mozbuild/test/backend/data/exports/pprio,1.212,0.0,0.443,0,0
mozilla/css/Loader,1.212,0.0,0.443,0,0
mozilla/dom/BluetoothMapMessageUpdateEvent,1.212,0.0,0.443,0,0
memory/jemalloc/src/test/unit/prof_gdump,1.212,0.0,1.659,0,1
accessible/base/ARIAMap,6.49,17689.362,1.66,29,12
gfx/skia/skia/src/pipe/SkGPipeWrite,1.446,1793.902,1.66,3,52
media/webrtc/trunk/webrtc/test/testsupport/fileutils,12.442,9503.772,1.66,106,6
gfx/skia/skia/src/utils/SkMeshUtils,1.212,0.0,1.66,0,14
media/webrtc/trunk/webrtc/system_wrappers/source/rw_lock_win,1.46,0.0,1.659,1,5
mozilla/dom/GeneratedEventList,1.212,0.0,0.443,0,0
js/src/gc/RootMarking,8.926,27622.213,1.66,4,30
