file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
content/media/webaudio/AudioNode.cpp,437,2,26,3,0.15
content/media/webaudio/AudioNode.h,257,1,23,1,0.47
content/media/webaudio/AudioNodeStream.h,187,1,9,0,0.52
content/media/webaudio/AudioNodeEngine.h,389,1,33,1,0.52
xpcom/glue/nsCycleCollectionParticipant.h,801,1,17,1,0.55
xpcom/glue/nsISupportsImpl.h,1137,1,29,1,1.45
xpcom/base/nscore.h,311,0,0,0,99.00
build/stlport/stlport/stl/config/features.h,1079,0,0,0,29.40
media/libyuv/util/compare.cc,63,10,1,3,0.21
media/libyuv/include/libyuv/basic_types.h,132,0,0,0,2.50
media/libyuv/include/libyuv/compare.h,73,0,0,0,0.38
media/libyuv/include/libyuv/version.h,16,0,0,0,0.00
xpcom/threads/nsEnvironment.h,36,1,1,0,0.46
xpcom/glue/nsID.h,149,1,2,0,2.58
xpcom/glue/nsStringAPI.h,1592,1,178,1,0.27
xpcom/string/nsXPCOMStrings.h,748,1,6,0,4.93
nsprpub/pr/include/prlog.h,221,0,0,0,5.67
xpcom/glue/nsTArray.h,2062,1,174,3,0.46
xpcom/glue/nsDebug.h,420,1,1,0,12.00
xpcom/string/nsTSubstring.h,1140,1,90,1,0.47
xpcom/string/nsLiteralString.h,37,0,0,0,0.00
testing/web-platform/tests/resources/webidl2/test/widlproc/src/process.h,27,0,0,0,7.50
gfx/skia/trunk/src/gpu/GrInOrderDrawBuffer.h,295,1,7,0,0.26
gfx/skia/trunk/src/gpu/GrDrawTarget.h,995,2,51,4,1.29
gfx/skia/trunk/src/gpu/GrAllocPool.h,60,1,3,0,0.77
gfx/skia/trunk/src/gpu/GrAllocator.h,355,3,32,3,0.67
gfx/skia/trunk/src/gpu/GrPath.h,51,1,5,0,0.39
gfx/skia/trunk/include/core/SkClipStack.h,479,2,30,4,0.71
gfx/skia/trunk/include/core/SkTemplates.h,479,2,64,5,0.41
gfx/skia/trunk/include/core/SkTypes.h,674,2,38,5,1.02
gfx/skia/trunk/include/core/SkPostConfig.h,425,0,0,0,0.00
gfx/skia/trunk/src/views/SkViewInflate.cpp,145,3,10,3,0.10
gfx/skia/trunk/include/views/SkViewInflate.h,71,0,0,0,0.92
gfx/skia/trunk/include/views/SkView.h,405,1,27,1,0.87
gfx/skia/trunk/include/core/SkPreConfig.h,264,0,0,0,0.00
media/webrtc/trunk/webrtc/modules/video_coding/main/source/rtt_filter.h,70,0,0,0,0.81
media/webrtc/trunk/webrtc/typedefs.h,193,0,0,0,0.00
security/nss/lib/pkcs12/pkcs12t.h,366,0,0,0,0.36
security/nss/lib/util/seccomon.h,92,0,0,0,0.69
