node,page_rank,betweenness,closeness,indegree,outdegree
ipc/chromium/src/base/atomicops_internals_arm64_gcc,1.163,0.0,1.651,0,2
gfx/skia/skia/include/gpu/gl/command_buffer/SkCommandBufferGLContext,1.262,0.0,1.651,1,0
dom/bindings/ErrorIPCUtils,1.163,0.0,1.652,0,3
dom/audiochannel/AudioChannelService,2.609,24251.298,1.652,28,31
nsIScreen,1.163,0.0,0.425,0,0
mozilla/dom/MediaKeys,1.163,0.0,0.425,0,0
security/nss/lib/freebl/mpi/mpi,50.784,493447.333,1.652,85,13
gfx/2d/ScaledFontCairo,1.41,454.082,1.652,2,6
nsIDataStore,1.163,0.0,0.425,0,0
widget/gonk/nativewindow/GonkNativeWindowICS,1.163,0.0,1.652,0,28
media/libjpeg/jctrans,1.655,1745.357,1.652,3,13
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.295,111.225,1.652,9,2
ipc/chromium/src/third_party/libevent/test/regress_iocp,1.163,0.0,1.652,0,27
nsIRDFXMLSource,1.163,0.0,0.425,0,0
nsIDOMHTMLHtmlElement,1.163,0.0,0.425,0,0
gfx/2d/SourceSurfaceCG,3.13,35068.609,1.652,13,12
dom/telephony/ipc/TelephonyIPCSerializer,1.163,0.0,1.652,0,3
mfbt/tests/TestIntegerPrintfMacros,1.163,0.0,1.652,0,1
modules/freetype2/src/cache/ftcsbits,1.53,5149.147,1.652,4,17
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,1.292,2822.064,1.652,1,4
security/nss/lib/pkcs7/secmime,1.277,6462.29,1.652,4,25
layout/style/StyleSetHandle,2.163,47665.835,1.652,14,12
mozilla/gfx/MatrixFwd,1.163,0.0,0.425,0,0
python/mozbuild/mozbuild/test/frontend/data/generated-sources/d,1.163,0.0,0.425,0,0
build/stlport/stlport/stl/pointers/_tools,34.201,19802.369,1.651,5,1
media/webrtc/trunk/tools/gyp/test/rules/src/subdir3/program,1.163,0.0,1.652,0,1
accessible/generic/ARIAGridAccessible,4.955,43783.395,1.652,6,25
AccessibleStates,1.163,0.0,0.425,0,0
js/xpconnect/src/XPCForwards,1.23,0.0,1.652,1,0
python/mozbuild/mozbuild/test/backend/data/exports/pprio,1.163,0.0,0.425,0,0
mozilla/css/Loader,1.163,0.0,0.425,0,0
mozilla/dom/BluetoothMapMessageUpdateEvent,1.163,0.0,0.425,0,0
memory/jemalloc/src/test/unit/prof_gdump,1.163,0.0,1.651,0,1
accessible/base/ARIAMap,7.109,8058.928,1.652,30,11
dom/media/platforms/ffmpeg/ffmpeg57/include/libavcodec/version,1.82,3084.247,1.651,3,2
media/webrtc/trunk/webrtc/test/testsupport/fileutils,12.131,2568.749,1.652,106,5
gfx/skia/skia/src/utils/SkMeshUtils,1.163,0.0,1.652,0,8
media/webrtc/trunk/webrtc/system_wrappers/source/rw_lock_win,1.477,0.0,1.652,1,4
mozilla/dom/GeneratedEventList,1.163,0.0,0.425,0,0
js/src/gc/RootMarking,10.468,22088.045,1.652,4,30
intl/icu/source/common/uinvchar,6.188,14527.89,1.652,62,14
js/src/jsapi-tests/testUncaughtError,1.163,0.0,1.652,0,5
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/fix/source/pitch_estimator_c,1.402,23.0,1.652,1,6
dom/plugins/ipc/ChildTimer,1.354,12.913,1.652,2,8
mozilla/dom/quota/QuotaCommon,1.163,0.0,0.425,0,0
gfx/angle/src/libANGLE/renderer/d3d/d3d9/Renderer9,2.72,32434.641,1.652,14,88
intl/uconv/ucvlatin/8859-16,1.163,0.0,0.425,0,0
media/openmax_dl/dl/sp/src/omxSP_FFTInit_C_FC32,1.163,0.0,1.651,0,5
media/libvpx/vp8/decoder/detokenize,1.38,10025.483,1.652,4,11
xpcom/ds/nsHashPropertyBag,2.459,6174.966,1.652,25,19
X11/Xmd,1.163,0.0,0.425,0,0
gfx/vr/gfxVROculus050,1.212,0.0,1.652,1,21
asm/ioctls,1.163,0.0,0.425,0,0
mozilla/_ipdltest/PTestDataStructuresSubChild,1.163,0.0,0.425,0,0
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/EncodeDecodeTest,1.363,755.573,1.652,3,22
security/nss/lib/util/base64,2.695,128.461,1.652,22,2
dom/media/gmp/gmp-api/gmp-storage,7.595,1.0,1.652,12,1
build/stlport/stlport/stddef,1438.45,10574321.338,1.652,342,4
usr/include/malloc,1.163,0.0,0.425,0,0
media/webrtc/trunk/webrtc/p2p/base/relayport,1.538,8015.904,1.652,8,28
js/src/ctypes/libffi/testsuite/libffi.call/nested_struct9,5.376,52136.772,1.652,14,3
sys/videoio,1.163,0.0,0.425,0,0
json/reader,1.163,0.0,0.425,0,0
media/ffvpx/libavcodec/pthread,1.262,23668.2,1.652,2,8
js/xpconnect/src/XPCShellImpl,1.657,8955.942,1.652,1,54
media/libvorbis/lib/books/coupled/res_books_51,1.406,0.5,1.651,1,1
dom/ipc/StructuredCloneData,1.988,39392.282,1.652,11,14
dom/mobileconnection/MobileNetworkInfo,1.163,0.0,1.652,0,12
media/libopus/silk/NLSF_del_dec_quant,1.226,0.0,1.651,1,6
mfbt/tests/TestTuple,1.163,0.0,1.652,0,4
accessible/xpcom/xpcAccessibleTextRange,1.256,3909.362,1.652,2,21
media/webrtc/trunk/webrtc/common_audio/signal_processing/copy_set_operations,5.211,4.488,1.652,23,1
