file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
media/libyuv/util/compare.cc,63,10,1,3,0.21
media/libyuv/include/libyuv/basic_types.h,132,0,0,0,2.50
media/libyuv/include/libyuv/compare.h,73,0,0,0,0.38
media/libyuv/include/libyuv/version.h,16,0,0,0,0.00
xpcom/threads/nsEnvironment.h,36,1,1,0,0.46
xpcom/glue/nsISupportsImpl.h,1135,1,29,1,1.42
xpcom/glue/nsID.h,149,1,2,0,2.58
xpcom/glue/nsStringAPI.h,1592,1,178,1,0.27
xpcom/base/nscore.h,293,0,0,0,99.00
xpcom/string/nsXPCOMStrings.h,748,1,6,0,4.93
xpcom/glue/nsTArray.h,2361,1,209,3,0.40
xpcom/glue/nsDebug.h,442,1,1,0,12.73
xpcom/string/nsTSubstring.h,1171,1,95,1,0.46
build/stlport/stlport/stl/config/features.h,1079,0,0,0,29.40
xpcom/string/nsLiteralString.h,37,0,0,0,0.00
testing/web-platform/tests/resources/webidl2/test/widlproc/src/process.h,27,0,0,0,7.50
gfx/skia/trunk/src/gpu/GrInOrderDrawBuffer.h,295,1,7,0,0.26
gfx/skia/trunk/src/gpu/GrDrawTarget.h,995,2,51,4,1.29
gfx/skia/trunk/src/gpu/GrAllocPool.h,60,1,3,0,0.77
gfx/skia/trunk/src/gpu/GrAllocator.h,355,3,32,3,0.67
gfx/skia/trunk/src/gpu/GrPath.h,51,1,5,0,0.39
gfx/skia/trunk/include/core/SkClipStack.h,479,2,30,4,0.71
gfx/skia/trunk/include/core/SkTemplates.h,479,2,64,5,0.41
gfx/skia/trunk/include/core/SkTypes.h,674,2,38,5,1.02
gfx/skia/trunk/include/core/SkPostConfig.h,425,0,0,0,0.00
gfx/skia/trunk/src/views/SkViewInflate.cpp,145,3,10,3,0.10
gfx/skia/trunk/include/views/SkViewInflate.h,71,0,0,0,0.92
gfx/skia/trunk/include/views/SkView.h,405,1,27,1,0.87
gfx/skia/trunk/include/core/SkPreConfig.h,264,0,0,0,0.00
media/webrtc/trunk/webrtc/modules/video_coding/main/source/rtt_filter.h,68,0,0,0,0.87
media/webrtc/trunk/webrtc/typedefs.h,213,0,0,0,0.00
security/nss/lib/pkcs12/pkcs12t.h,366,0,0,0,0.36
security/nss/lib/util/seccomon.h,92,0,0,0,0.69
security/nss/lib/util/secoid.h,141,0,0,0,2.93
security/nss/lib/certdb/cert.h,1686,0,0,0,1.45
security/nss/lib/cryptohi/key.h,12,0,0,0,0.00
nsprpub/lib/ds/plarena.h,253,0,0,0,3.87
security/nss/lib/pkcs7/secpkcs7.h,610,0,0,0,3.01
security/nss/lib/util/secdig.h,103,0,0,0,4.20
media/webrtc/trunk/tools/gyp/test/builddir/src/subdir2/subdir3/subdir4/prog4.c,10,1,1,0,0.00
media/webrtc/trunk/webrtc/modules/audio_coding/main/acm2/acm_opus.h,63,0,0,0,0.41
media/webrtc/trunk/webrtc/common_audio/resampler/include/resampler.h,65,1,1,0,0.64
media/webrtc/trunk/webrtc/modules/audio_coding/main/acm2/acm_generic_codec.h,956,1,6,0,4.99
media/webrtc/trunk/webrtc/base/thread_annotations.h,99,0,0,0,0.00
modules/libjar/zipwriter/nsZipWriter.cpp,1151,9,32,7,0.13
modules/libjar/zipwriter/nsZipWriter.h,80,0,0,0,0.09
modules/libjar/zipwriter/StreamFunctions.h,68,1,7,0,0.25
modules/libjar/zipwriter/nsZipDataStream.h,45,1,2,0,0.18
xpcom/glue/nsComponentManagerUtils.h,276,2,21,1,0.07
xpcom/glue/nsMemory.h,136,0,0,0,3.64
xpcom/base/nsError.h,213,1,4,0,2.19
xpcom/io/nsStreamUtils.h,289,0,0,0,2.77
xpcom/glue/nsThreadUtils.h,1022,1,74,2,0.35
netwerk/base/nsNetUtil.h,2871,4,109,4,0.23
nsprpub/pr/include/prio.h,2022,0,0,0,3.77
xpcom/glue/nsISupportsUtils.h,137,3,2,1,3.25
modules/libjar/zipwriter/nsZipHeader.h,94,1,2,0,0.14
nsprpub/pr/include/prtime.h,262,0,0,0,4.25
build/stlport/stlport/stl/_cprolog.h,25,0,0,0,0.00
toolkit/components/terminator/nsTerminator.h,44,1,1,0,0.32
tools/profiler/LulPlatformMacros.h,53,0,0,0,0.00
build/stlport/stlport/stl/config/_system.h,174,0,0,0,0.00
build/stlport/stlport/stl/config/_linux.h,126,0,0,0,0.00
embedding/components/webbrowserpersist/nsWebBrowserPersist.h,232,1,2,0,0.09
xpcom/glue/nsCOMPtr.h,1380,1,91,1,0.29
xpcom/glue/nsWeakReference.h,48,1,4,0,0.38
layout/style/nsIStyleSheet.h,87,0,0,0,2.00
xpcom/glue/nsClassHashtable.h,136,2,6,2,0.64
xpcom/glue/nsHashKeys.h,679,1,114,1,0.31
media/libvpx/vp8_rtcd_x86-win32-vs12.h,528,0,0,0,0.02
media/libvpx/vpx_ports/x86.h,303,3,6,4,0.24
media/webrtc/trunk/webrtc/modules/video_capture/windows/help_functions_ds.h,35,0,0,0,0.86
media/webrtc/trunk/tools/gyp/test/external-cross-compile/src/test1.cc,1,0,0,0,0.00
dom/media/SharedBuffer.h,77,1,10,1,0.45
xpcom/base/nsAutoPtr.h,793,1,85,1,0.26
uriloader/exthandler/mac/nsOSHelperAppService.h,48,0,0,0,0.88
uriloader/exthandler/nsExternalHelperAppService.h,489,2,1,0,2.17
uriloader/exthandler/nsMIMEInfoImpl.h,196,1,8,1,1.17
security/nss/external_tests/google_test/gtest/test/gtest_environment_test.cc,192,1,12,1,0.62
security/nss/external_tests/google_test/gtest/include/gtest/gtest.h,2307,1,103,2,1.63
security/nss/external_tests/google_test/gtest/src/gtest-internal-inl.h,1192,1,68,3,0.89
security/nss/external_tests/google_test/gtest/include/gtest/internal/gtest-port.h,2432,1,80,2,2.03
layout/style/nsCSSPropList.h,4363,0,0,0,0.07
layout/style/nsCSSProperty.h,102,0,0,0,1.00
build/stlport/stlport/float.h,52,0,0,0,0.00
toolkit/crashreporter/google-breakpad/src/common/solaris/dump_symbols.cc,681,4,27,4,0.25
toolkit/crashreporter/google-breakpad/src/third_party/glog/src/demangle.h,84,0,0,0,23.67
toolkit/crashreporter/google-breakpad/src/common/android/include/sys/stat.h,39,0,0,0,0.00
toolkit/crashreporter/google-breakpad/src/common/scoped_ptr.h,335,1,39,1,0.29
toolkit/crashreporter/google-breakpad/src/common/solaris/dump_symbols.h,49,0,0,0,4.86
toolkit/crashreporter/google-breakpad/src/common/solaris/file_id.h,66,1,1,0,3.50
toolkit/crashreporter/google-breakpad/src/common/solaris/guid_creator.h,50,0,0,0,11.33
media/webrtc/trunk/webrtc/system_wrappers/source/scoped_vector_unittest.cc,328,5,37,3,0.15
media/webrtc/trunk/webrtc/system_wrappers/interface/scoped_vector.h,148,1,41,1,0.22
media/webrtc/trunk/webrtc/system_wrappers/interface/scoped_ptr.h,615,1,56,1,1.35
media/webrtc/trunk/testing/gtest/include/gtest/gtest.h,2350,1,102,1,1.60
media/webrtc/trunk/webrtc/base/constructormagic.h,45,0,0,0,0.00
gfx/2d/PathCairo.h,94,1,3,0,0.14
gfx/2d/2D.h,1293,1,56,1,0.89
gfx/cairo/cairo/src/cairo.h,2729,0,0,0,1.14
media/webrtc/trunk/webrtc/modules/audio_coding/neteq/dsp_helper.h,136,0,0,0,0.95
media/webrtc/trunk/webrtc/modules/audio_coding/neteq/audio_multi_vector.h,139,1,1,0,1.60
gfx/skia/trunk/src/opts/SkBitmapProcState_matrix_neon.h,506,8,10,3,0.11
gfx/skia/trunk/include/core/SkScalar.h,254,3,15,3,1.98
gfx/skia/trunk/src/core/SkBitmapProcState.h,225,2,7,3,0.70
netwerk/srtp/src/crypto/rng/rand_source.c,158,2,3,1,2.43
netwerk/srtp/src/include/config.h,6,0,0,0,0.00
netwerk/srtp/src/crypto/include/rand_source.h,91,0,0,0,8.62
dom/media/gmp/GMPService.h,145,1,6,1,0.16
xpcom/string/nsString.h,215,1,13,0,0.26
dom/base/nsPIDOMWindow.h,911,2,44,3,0.67
dom/base/nsIDocument.h,3072,1,155,1,0.88
dom/bluetooth/bluedroid/BluetoothHandsfreeHALInterface.cpp,957,2,37,1,0.04
dom/bluetooth/bluedroid/BluetoothHandsfreeHALInterface.h,107,0,0,0,0.19
dom/bluetooth/bluedroid/BluetoothHALHelpers.h,1625,2,81,2,0.05
dom/bluetooth/BluetoothCommon.h,794,1,6,2,0.34
js/src/ctypes/libffi/testsuite/libffi.call/cls_8byte.c,88,2,3,0,0.20
js/src/ctypes/libffi/testsuite/libffi.call/ffitest.h,135,0,0,0,0.00
gfx/cairo/cairo/src/cairo-xlib-xrender.h,66,0,0,0,0.00
js/public/UbiNode.h,717,1,69,0,1.07
js/src/jspubtd.h,502,1,32,1,0.35
image/ShutdownTracker.cpp,76,2,7,2,0.47
image/ShutdownTracker.h,46,0,0,0,2.55
gfx/skia/trunk/src/gpu/gl/iOS/GrGLCreateNativeInterface_iOS.cpp,174,1,1,0,0.07
gfx/skia/trunk/include/gpu/gl/GrGLInterface.h,348,1,7,0,0.40
ipc/ipdl/test/cxx/TestSyncWakeup.h,74,2,4,1,0.07
media/webrtc/trunk/tools/gyp/test/builddir/src/func3.c,6,1,1,0,0.00
js/src/asmjs/AsmJSModule.cpp,2320,2,122,4,0.09
js/src/asmjs/AsmJSModule.h,1634,1,196,2,0.14
js/src/jit/ExecutableAllocator.h,456,3,17,3,0.29
js/src/jslibmath.h,76,2,3,2,0.42
js/src/jsmath.h,442,1,3,1,0.05
js/src/jsprf.h,67,0,0,0,6.57
js/src/jswin.h,29,0,0,0,0.00
js/src/prmjtime.h,59,1,2,0,1.20
js/src/builtin/AtomicsObject.h,142,0,0,0,0.86
js/src/frontend/Parser.h,780,1,33,0,0.50
js/src/jit/IonCode.h,771,1,112,2,0.16
js/src/jsobjinlines.h,871,2,70,3,0.13
js/src/frontend/ParseNode-inl.h,35,2,2,0,0.47
js/src/jit/MacroAssembler-inl.h,119,1,13,0,0.22
js/src/vm/ArrayBufferObject-inl.h,46,2,3,1,0.35
js/src/vm/Stack-inl.h,991,2,84,2,0.04
js/src/asmjs/AsmJSFrameIterator.h,178,1,8,0,0.41
js/src/jstypes.h,221,0,0,0,0.00
js/src/vm/Runtime.h,2045,1,158,2,0.47
js/src/jsutil.h,420,1,32,2,0.14
js/src/jit/Registers.h,167,1,28,1,0.11
js/src/frontend/ParseNode.h,1723,1,138,2,0.58
gfx/skia/trunk/src/effects/SkPerlinNoiseShader.cpp,1052,3,49,4,0.11
gfx/skia/trunk/include/core/SkDither.h,198,8,10,3,0.12
gfx/skia/trunk/include/effects/SkPerlinNoiseShader.h,130,1,3,0,0.89
gfx/skia/trunk/include/core/SkColorFilter.h,144,1,5,0,2.77
gfx/skia/trunk/include/core/SkReadBuffer.h,232,1,34,3,0.31
gfx/skia/trunk/include/core/SkWriteBuffer.h,120,1,11,0,0.32
