node,page_rank,betweenness,closeness,indegree,outdegree
dom/bindings/ErrorIPCUtils,1.247,0.0,1.739,0,2
dom/audiochannel/AudioChannelService,3.554,46533.535,1.74,25,26
nsIScreen,1.247,0.0,0.457,0,0
mozilla/dom/MediaKeys,1.247,0.0,0.457,0,0
security/nss/lib/freebl/mpi/mpi,55.074,486103.924,1.739,85,13
gfx/2d/ScaledFontCairo,1.443,4421.669,1.739,2,7
nsIDataStore,1.247,0.0,0.457,0,0
widget/gonk/nativewindow/GonkNativeWindowICS,1.247,0.0,1.74,0,27
media/libjpeg/jctrans,1.773,2224.273,1.739,3,13
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.607,602.356,1.739,9,2
ipc/chromium/src/third_party/libevent/test/regress_iocp,1.247,0.0,1.74,0,27
nsIRDFXMLSource,1.247,0.0,0.457,0,0
nsIDOMHTMLHtmlElement,1.247,0.0,0.457,0,0
gfx/2d/SourceSurfaceCG,3.535,115930.499,1.74,17,15
dom/telephony/ipc/TelephonyIPCSerializer,1.247,0.0,1.74,0,3
mfbt/tests/TestIntegerPrintfMacros,1.247,0.0,1.739,0,1
modules/freetype2/src/cache/ftcsbits,1.64,4690.999,1.739,4,17
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,1.76,5638.299,1.74,5,8
js/public/TraceableVector,1.247,0.0,0.457,0,0
python/mozbuild/mozbuild/test/frontend/data/generated-sources/d,1.247,0.0,0.457,0,0
build/stlport/stlport/stl/pointers/_tools,30.998,15957.242,1.739,5,1
media/webrtc/trunk/tools/gyp/test/rules/src/subdir3/program,1.247,0.0,1.739,0,1
AccessibleStates,1.247,0.0,0.457,0,0
js/xpconnect/src/XPCForwards,1.327,0.0,1.739,1,0
python/mozbuild/mozbuild/test/backend/data/exports/pprio,1.247,0.0,0.457,0,0
mozilla/css/Loader,1.247,0.0,0.457,0,0
memory/jemalloc/src/test/unit/prof_gdump,1.247,0.0,1.739,0,1
accessible/base/ARIAMap,9.306,19492.215,1.74,51,14
gfx/skia/skia/src/pipe/SkGPipeWrite,1.488,1633.567,1.74,3,52
media/webrtc/trunk/webrtc/test/testsupport/fileutils,12.469,8495.527,1.74,106,6
gfx/skia/skia/src/utils/SkMeshUtils,1.247,0.0,1.74,0,14
media/webrtc/trunk/webrtc/system_wrappers/source/rw_lock_win,1.502,0.0,1.739,1,5
mozilla/dom/GeneratedEventList,1.247,0.0,0.457,0,0
js/src/gc/RootMarking,10.794,17189.499,1.74,4,33
gfx/angle/src/libGLESv2/Constants,3.144,0.0,1.739,13,0
intl/icu/source/common/uinvchar,6.312,5634.765,1.74,61,12
js/src/jsapi-tests/testUncaughtError,1.247,0.0,1.739,0,5
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/fix/source/pitch_estimator_c,1.503,22.0,1.74,1,6
dom/plugins/ipc/ChildTimer,1.44,30.681,1.74,2,8
mozilla/dom/quota/QuotaCommon,1.247,0.0,0.457,0,0
intl/uconv/ucvlatin/8859-16,1.247,0.0,0.457,0,0
media/openmax_dl/dl/sp/src/omxSP_FFTInit_C_FC32,1.247,0.0,1.739,0,5
media/libvpx/vp8/decoder/detokenize,1.479,6036.994,1.74,4,11
xpcom/ds/nsHashPropertyBag,2.688,17119.995,1.74,22,19
X11/Xmd,1.247,0.0,0.457,0,0
gfx/vr/gfxVROculus050,1.299,0.0,1.74,1,21
asm/ioctls,1.247,0.0,0.457,0,0
mozilla/_ipdltest/PTestDataStructuresSubChild,1.247,0.0,0.457,0,0
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/EncodeDecodeTest,1.453,406.249,1.74,3,22
security/nss/lib/util/base64,2.971,15.147,1.739,21,2
