node,page_rank,betweenness,closeness,indegree,outdegree
content/media/webspeech/recognition/SpeechRecognitionResult,1.571,332.029,1.906,3,17
security/nss/lib/pk11wrap/pk11util,2.61,148573.211,1.906,24,27
mozilla/HalScreenConfiguration,1.345,0.0,0.492,0,0
nsPILoadGroupInternal,1.345,0.0,0.492,0,0
dom/audiochannel/AudioChannelService,2.672,87590.089,1.906,21,26
build/stlport/stlport/stl/_cwchar,414.212,3088764.407,1.906,20,7
mozilla/dom/MediaKeys,1.345,0.0,0.492,0,0
media/libstagefright/system/core/libcutils/strdup16to8,1.345,0.0,1.906,0,1
security/nss/lib/freebl/mpi/mpi,76.125,547210.699,1.906,85,13
layout/xul/nsStackFrame,1.412,0.0,1.906,1,18
mozilla/ipc/MessageLink,1.345,0.0,0.492,0,0
toolkit/components/reflect/reflect,1.44,0.0,1.906,1,13
gfx/2d/ScaledFontCairo,1.564,315899.227,1.906,2,8
nsIDataStore,1.345,0.0,0.492,0,0
js/src/jswatchpoint,12.087,248.028,1.906,10,15
toolkit/crashreporter/google-breakpad/src/common/stabs_to_module_unittest,1.345,0.0,1.906,0,8
gfx/skia/trunk/src/animator/SkAnimatorScript2,1.569,298.394,1.906,3,30
toolkit/components/url-classifier/LookupCache,2.955,45439.992,1.906,5,25
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/EncodeDecodeTest,1.462,26.157,1.906,2,22
mozilla/dom/SVGFEDistantLightElementBinding,1.345,0.0,0.492,0,0
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.64,654.416,1.906,8,2
netwerk/base/src/nsURLHelper,40.173,20460.886,1.906,29,19
nsprpub/pr/include/prmon,13.694,2298.371,1.906,29,3
nsIRDFXMLSource,1.345,0.0,0.492,0,0
netwerk/sctp/src/netinet/sctp_pcb,5.713,97245.699,1.906,20,24
gfx/thebes/d3dkmtQueryStatistics,1.424,0.0,1.906,1,0
media/stagefright/MPEG4Writer,1.345,0.0,0.492,0,0
gfx/2d/SourceSurfaceCG,3.437,80758.789,1.906,19,9
content/base/src/NodeIterator,1.399,0.0,1.906,1,22
mfbt/tests/TestIntegerPrintfMacros,1.345,0.0,1.906,0,1
dom/xslt/xslt/txFormatNumberFunctionCall,1.482,2841.722,1.906,3,20
modules/freetype2/src/cache/ftcsbits,1.769,3293.791,1.906,4,17
content/base/public/nsIDocumentObserver,6.667,3290.244,1.906,37,9
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,1.917,4339.501,1.906,5,8
security/nss/lib/freebl/sha256,2.56,0.111,1.906,3,1
d3d10_1,1.345,0.0,0.492,0,0
media/libopus/silk/MacroDebug,4.631,0.0,1.906,1,0
media/libyuv/unit_test/scale_test,1.345,0.0,1.906,0,10
nsIApplicationReputation,1.345,0.0,0.492,0,0
intl/icu/source/i18n/tzfmt,1.413,48694.825,1.906,2,52
media/libvpx/vp8/common/arm/dequantize_arm,1.345,0.0,1.906,0,3
toolkit/crashreporter/google-breakpad/src/client/windows/crash_generation/client_info,2.867,85095.981,1.906,10,5
media/webrtc/trunk/webrtc/video/video_send_stream_tests,1.345,0.0,1.906,0,38
build/stlport/stlport/stl/pointers/_tools,39.591,14240.151,1.906,5,1
intl/strres/src/nsStringBundleTextOverride,1.516,1044.014,1.906,3,19
widget/windows/winrt/MetroInput,1.829,169377.513,1.906,4,24
gfx/cairo/cairo/src/cairo-image-surface,13.714,313529.06,1.906,48,53
media/webrtc/trunk/tools/gyp/test/rules/src/subdir3/program,1.345,0.0,0.492,0,0
other-licenses/7zstub/src/7zip/Archive/7z/7zCompressionMode,1.412,0.0,1.906,1,6
AccessibleStates,1.345,0.0,0.492,0,0
mozilla/dom/FragmentOrElement,1.345,0.0,0.492,0,0
js/xpconnect/src/XPCForwards,1.714,0.0,1.906,2,0
python/mozbuild/mozbuild/test/backend/data/exports/pprio,1.345,0.0,0.492,0,0
security/manager/ssl/src/nsDataSignatureVerifier,15.941,2816130.535,1.906,149,47
d3dx9,1.345,0.0,0.492,0,0
mozilla/css/Loader,1.345,0.0,0.492,0,0
build/stlport/src/monetary,1.345,0.0,1.906,0,3
media/webrtc/signaling/src/sipcc/core/sdp/sdp_config,1.611,0.5,1.906,3,4
dom/ipc/TabContext,1.694,227.221,1.906,5,8
accessible/base/ARIAMap,10.292,11643.363,1.906,47,14
CPlusTest/CPlusTest,1.345,0.0,0.492,0,0
gfx/skia/trunk/src/gpu/GrAllocPool,1.744,0.0,1.906,3,5
intl/icu/source/i18n/dtrule,1.612,0.333,1.906,4,8
tlhelp32,1.345,0.0,0.492,0,0
gfx/skia/trunk/src/pdf/SkPDFFormXObject,1.574,207.347,1.906,5,17
media/webrtc/trunk/webrtc/modules/audio_processing/aec/echo_cancellation_unittest,1.345,0.0,1.906,0,7
mozilla/dom/HTMLIFrameElement,1.345,0.0,0.492,0,0
gfx/skia/trunk/src/animator/SkDisplayAdd,1.549,1.525,1.906,3,15
media/webrtc/trunk/webrtc/test/testsupport/fileutils,15.415,1846.883,1.906,102,4
media/webrtc/trunk/webrtc/system_wrappers/source/rw_lock_win,1.621,0.0,1.906,1,5
js/src/gc/RootMarking,11.095,3583.291,1.906,3,36
gfx/angle/src/libGLESv2/Constants,2.115,0.0,1.906,7,0
intl/lwbrk/src/nsSemanticUnitScanner,1.645,114.039,1.906,2,6
intl/icu/source/common/uinvchar,6.653,2144.949,1.906,59,12
media/libvorbis/lib/modes/setup_11,1.829,34.839,1.906,1,7
js/src/jsapi-tests/testUncaughtError,1.345,0.0,1.906,0,6
build/stlport/src/details/fstream_unistd,1.509,137.984,1.906,1,8
media/webrtc/trunk/webrtc/modules/video_processing/main/source/color_enhancement,1.58,13332.091,1.906,2,10
accessible/atk/nsMaiInterfaceDocument,1.761,0.0,1.906,1,11
modules/freetype2/src/base/ftobjs,7.074,236618.368,1.906,58,26
dom/plugins/ipc/ChildTimer,1.555,6.777,1.906,2,8
security/nss/external_tests/ssl_gtest/tls_parser,1.746,147.852,1.906,2,4
testing/gtest/gtest/include/gtest/gtest-death-test,6.278,1513.62,1.906,2,4
gfx/skia/trunk/include/views/animated/SkBorderView,1.448,0.0,1.906,2,12
mozilla/dom/quota/QuotaCommon,1.345,0.0,0.492,0,0
media/webrtc/trunk/webrtc/modules/audio_processing/aec/echo_cancellation,1.727,29996.833,1.906,3,8
gfx/thebes/gfxMatrix,12.848,37070.676,1.906,78,7
intl/uconv/ucvlatin/8859-16,1.345,0.0,0.492,0,0
content/media/fmp4/ffmpeg/libav54/include/libavutil/intfloat_readwrite,1.345,0.0,1.906,0,2
media/libvpx/vp8/decoder/detokenize,1.6,8132.997,1.906,4,11
xpcom/ds/nsHashPropertyBag,2.575,11834.715,1.906,20,19
netwerk/base/src/nsIncrementalDownload,1.345,0.0,1.906,0,22
mint/mintbind,1.345,0.0,0.492,0,0
intl/uconv/ucvlatin/nsUnicodeToISO88592,1.547,7.513,1.906,2,7
nsprpub/pr/tests/multiwait,1.345,0.0,1.906,0,34
parser/expat/lib/iasciitab,1.768,0.0,1.906,1,0
js/src/ctypes/libffi/src/dlmalloc,1.675,0.0,1.906,1,0
mozilla/dom/MozMobileConnectionArrayBinding,1.345,0.0,0.492,0,0
asm/ioctls,1.345,0.0,0.492,0,0
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/neteq,1.77,258733.625,1.906,7,14
mozilla/_ipdltest/PTestDataStructuresSubChild,1.345,0.0,0.492,0,0
content/canvas/src/WebGLShader,2.011,465.336,1.906,9,16
gfx/cairo/cairo/src/cairo-qt,1.393,0.0,1.906,1,1
security/nss/lib/util/base64,3.264,11.206,1.906,22,2
media/webrtc/trunk/tools/gyp/test/hard_dependency/src/b,2.763,4.0,0.492,1,2
nsIControllerContext,1.345,0.0,0.492,0,0
security/nss/lib/pki/pki3hack,2.571,25708.541,1.906,17,51
gfx/src/nsThebesGfxFactory,1.345,0.0,1.906,0,8
gfx/angle/src/compiler/translator/UnfoldShortCircuit,1.712,0.0,1.906,2,5
media/webrtc/signaling/src/sipcc/core/src-common/kpml_common_util,1.405,1.442,1.906,1,17
usr/include/malloc,1.345,0.0,0.492,0,0
ipc/chromium/src/base/atomicops_internals_x86_gcc,18.367,43887.665,1.906,19,6
js/src/ctypes/libffi/testsuite/libffi.call/nested_struct9,5.298,10.0,1.906,11,2
libgnomevfs/gnome-vfs-ops,1.345,0.0,0.492,0,0
media/webrtc/signaling/src/sipcc/include/cc_info_listener,1.393,0.0,1.906,1,1
gfx/skia/trunk/include/core/SkMallocPixelRef,2.161,101.475,1.906,9,14
usr/include/stab,1.345,0.0,0.492,0,0
mozilla/dom/ContentProcess,1.345,0.0,0.492,0,0
other-licenses/atk-1.0/atk/atkrelationtype,14.439,7657.266,1.906,3,1
image/src/DiscardTracker,1.659,205348.497,1.906,5,14
dom/xslt/base/txOwningArray,1.641,0.0,1.906,2,1
json/reader,1.345,0.0,0.492,0,0
nsIVolumeService,1.345,0.0,0.492,0,0
security/sandbox/win/src/crosscall_client,3.525,5135.962,1.906,17,6
widget/qt/nsWindow,2.577,193937.794,1.906,8,47
media/libvorbis/lib/books/coupled/res_books_51,1.627,0.5,1.906,1,1
nsIPrincipal,1.345,0.0,0.492,0,0
nsprpub/config/libc_r,1.345,0.0,0.492,0,0
mozilla/dom/MozActivityBinding,1.345,0.0,0.492,0,0
media/webrtc/trunk/webrtc/modules/rtp_rtcp/source/rtp_format_video_generic,1.52,0.0,1.906,3,2
security/sandbox/chromium/base/shim/base/third_party/nspr/prtime,7.214,14.619,1.906,45,1
media/libopus/silk/NLSF_del_dec_quant,1.418,0.0,1.906,1,6
mozglue/linker/szip,1.345,0.0,1.906,0,18
gfx/skia/trunk/include/core/SkTRegistry,4.287,4151.139,1.906,15,1
security/nss/cmd/sdrtest/sdrtest,1.718,12484.642,1.906,1,22
camera/CameraParameters,1.345,0.0,0.492,0,0
intl/icu/source/common/ucnv_u32,1.445,0.286,1.906,1,14
extensions/cookie/nsPermissionManager,1.556,18818.162,1.906,3,43
gfx/skia/trunk/include/core/SkBounder,3.17,477.358,1.906,16,10
dom/xslt/xpath/txXPathNode,5.664,20276.146,1.906,34,13
mozilla/net/PRtspChannelParent,1.345,0.0,0.492,0,0
build/stlport/stlport/stl/_stlport_version,107.309,0.0,1.906,3,0
chrome/src/nsChromeProtocolHandler,1.438,116.176,1.906,2,23
extensions/universalchardet/src/xpcom/nsUniversalCharDetDll,1.542,3.362,1.906,2,1
netwerk/protocol/about/nsAboutProtocolHandler,1.431,224.967,1.906,2,21
security/nss/lib/softoken/legacydb/keydbi,1.852,791.004,1.906,5,6
media/webrtc/trunk/webrtc/modules/video_coding/main/source/inter_frame_delay,1.955,0.0,1.906,2,3
xpctest,1.345,0.0,0.492,0,0
modules/zlib/src/crc32,2.961,2069.199,1.906,8,6
dom/base/nsIScriptNameSpaceManager,1.436,0.0,1.906,3,0
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/TwoWayCommunication,1.471,12.44,1.906,2,19
security/sandbox/chromium/base/threading/platform_thread_win,2.393,102223.847,1.906,6,10
modules/freetype2/src/autofit/afpic,2.135,7.997,1.906,7,6
nsprpub/pr/src/cplus/rclock,2.367,1249.943,1.906,6,6
content/xul/document/src/XULDocument,1.494,116422.634,1.906,4,106
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/fix/test/kenny,1.345,0.0,1.906,0,5
usr/include/netinet/ip,1.345,0.0,0.492,0,0
nsIVariant,1.345,0.0,0.492,0,0
mozilla/ipc/FileDescriptorUtils,1.345,0.0,0.492,0,0
media/libtheora/lib/arm/armstate,1.345,0.0,1.906,0,1
usr/include/fnmatch,1.345,0.0,0.492,0,0
nsIContextMenuListener,1.345,0.0,0.492,0,0
gfx/skia/trunk/src/core/SkDither,2.482,0.0,1.906,7,2
media/webrtc/signaling/src/sipcc/cpr/android/cpr_android_in,1.345,0.0,0.492,0,0
accessible/xpcom/xpcAccessibleValue,1.827,0.0,1.906,2,5
widget/windows/nsAppShell,1.884,40801.802,1.906,7,26
media/webrtc/trunk/tools/gyp/test/win/compiler-flags/runtime-checks,1.345,0.0,0.492,0,0
content/html/content/src/HTMLPictureElement,1.345,0.0,1.906,0,5
media/webrtc/trunk/webrtc/system_wrappers/test/TestSort/TestSort,1.345,0.0,1.906,0,4
dom/fmradio/FMRadioService,2.169,12614.079,1.906,5,22
security/nss/cmd/rsaperf/rsaperf,1.631,6145.942,1.906,1,38
content/html/content/src/HTMLSharedObjectElement,1.345,0.0,1.906,0,22
gfx/cairo/cairo/src/cairo-gl-shaders,1.449,28.15,1.906,1,12
other-licenses/snappy/src/snappy_unittest,1.554,1547.873,1.906,1,8
arch/abi,1.345,0.0,0.492,0,0
media/libyuv/include/libyuv/planar_functions,4.831,34238.568,1.906,15,5
mozilla/dom/BindingDeclarations,1.345,0.0,0.492,0,0
build/stlport/stlport/iostream,36.925,76953.221,1.906,11,7
netwerk/protocol/http/SpdyPush31,1.537,4856.184,1.906,4,24
mozglue/android/APKOpen,2.181,32075.469,1.906,5,15
mozilla/dom/HTMLBodyElementBinding,1.345,0.0,0.492,0,0
security/manager/ssl/src/nsProtectedAuthThread,1.41,13333.685,1.906,2,26
content/svg/content/src/nsSVGLength2,4.909,57533.809,1.906,35,24
widget/gtk/compat/gtk/gtkcolorseldialog,1.345,0.0,0.492,0,0
js/xpconnect/src/XPCRuntimeService,1.453,683.382,1.906,3,22
nsprpub/pr/include/md/_unixos,1.84,17.202,1.906,2,9
gfx/skia/trunk/src/utils/SkCullPoints,1.345,0.0,1.906,0,14
mozilla/_ipdltest/PTestActorPunningPunnedParent,1.345,0.0,0.492,0,0
toolkit/crashreporter/google-breakpad/src/client/windows/unittests/exception_handler_death_test,1.345,0.0,1.906,0,23
nsIPrefService,1.345,0.0,0.492,0,0
gfx/skia/trunk/src/ports/SkFontHost_win,12.246,809507.18,1.906,15,56
mozilla/dom/IDBKeyRangeBinding,1.345,0.0,0.492,0,0
intl/icu/source/i18n/uspoof_conf,1.452,90.875,1.906,2,28
media/webrtc/trunk/webrtc/modules/audio_device/ios/audio_device_utility_ios,1.505,0.0,1.906,1,8
toolkit/mozapps/update/common/uachelper,3.755,102.862,1.906,4,2
G726Interface,1.345,0.0,0.492,0,0
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/constants,20.474,10730.871,1.906,50,4
toolkit/xre/MacApplicationDelegate,1.708,0.0,1.906,1,0
layout/base/nsIReflowCallback,2.191,0.0,1.906,17,0
nsIVersionComparator,1.345,0.0,0.492,0,0
gfx/skia/trunk/include/gpu/GrFontScaler,1.762,58.799,1.906,7,4
js/MemoryMetrics,1.345,0.0,0.492,0,0
intl/icu/source/common/ustrfmt,2.411,4.544,1.906,15,7
nsIProtocolHandler,1.345,0.0,0.492,0,0
js/src/assembler/assembler/MacroAssemblerX86Common,1.708,0.0,1.906,1,4
xpcom/ds/nsCharSeparatedTokenizer,5.085,1775.621,1.906,37,5
media/webrtc/trunk/webrtc/modules/audio_coding/main/acm2/acm_speex,1.621,0.0,1.906,1,5
nsIAlarmHalService,1.345,0.0,0.492,0,0
wingdi,1.345,0.0,0.492,0,0
other-licenses/android/dst,3.443,0.0,1.906,2,0
mozilla/dom/PluginArrayBinding,1.345,0.0,0.492,0,0
mfbt/double-conversion/bignum-dtoa,2.202,6666.786,1.906,2,5
netwerk/dns/nsIDNKitInterface,2.535,3.0,1.906,3,1
media/libtremor/lib/codec_internal,4.225,3.948,1.906,9,3
layout/forms/nsFormControlFrame,1.963,1200.255,1.906,14,28
mozilla/dom/SVGImageElement,1.345,0.0,0.492,0,0
media/webrtc/trunk/webrtc/system_wrappers/source/trace_impl,31.153,482049.978,1.906,184,19
media/libvpx/vp9/common/vp9_default_coef_probs,1.726,0.0,1.906,1,1
js/src/jsast,1.345,0.0,0.492,0,0
gfx/skia/trunk/src/pathops/SkDQuadImplicit,1.812,0.0,1.906,2,4
mozilla/dom/HTMLTableSectionElement,1.345,0.0,0.492,0,0
media/webrtc/signaling/src/sipcc/core/includes/phone_platform_constants,11.382,0.0,1.906,28,0
content/base/src/ResponsiveImageSelector,1.345,0.0,1.906,0,24
js/src/jsapi-tests/testJSEvaluateScript,1.345,0.0,1.906,0,2
toolkit/crashreporter/google-breakpad/src/common/windows/pdb_source_line_writer,2.584,11.48,1.906,4,6
layout/style/StyleRule,5.41,558120.516,1.906,14,42
extensions/universalchardet/src/base/CharDistribution,3.504,1364.181,1.906,7,3
mozilla/EventNameList,1.345,0.0,0.492,0,0
ipc/dbus/RawDBusConnection,1.505,0.0,1.906,1,8
nsITaskbarProgress,1.345,0.0,0.492,0,0
xpcom/io/nsLocalFileUnix,1.345,0.0,1.906,0,43
modules/freetype2/include/ftbdf,1.62,0.519,1.906,4,4
media/libstagefright/stubs/empty/ALooper,1.476,0.0,1.906,1,0
mozilla/layers/MacIOSurfaceTextureHostOGL,1.345,0.0,0.492,0,0
media/libvpx/vp8/common/x86/vp8_asm_stubs,1.345,0.0,1.906,0,5
gfx/tests/gtest/TestSkipChars,1.345,0.0,1.906,0,5
security/nss/lib/freebl/ecl/tests/ecp_test,1.345,0.0,1.906,0,13
widget/BasicEvents,23.043,26985.149,1.906,93,9
security/nss/cmd/libpkix/pkix_pl/module/test_httpcertstore,1.362,6.024,1.906,1,18
layout/xul/nsIRootBox,1.59,3.866,1.906,6,2
clib/debug_protos,1.345,0.0,0.492,0,0
js/src/devtools/vprof/vprof,7.067,40194.141,1.906,9,3
editor/libeditor/html/TypeInState,1.477,44.829,1.906,4,21
security/manager/ssl/src/nsCertVerificationThread,1.478,1863.056,1.906,3,17
js/src/ctypes/libffi/src/arc/ffitarget,1.345,0.0,0.492,0,0
media/webrtc/trunk/tools/gyp/test/rules-variables/src/test.input_root,1.574,0.0,0.492,1,0
content/media/fmp4/ffmpeg/libav53/include/libavutil/blowfish,1.345,0.0,1.906,0,1
gfx/layers/opengl/TextureHostOGL,1.753,3527.825,1.906,6,37
js/xpconnect/src/XPCWrappedNativeJSOps,2.285,7307.48,1.907,9,28
security/sandbox/chromium/base/time/time,25.872,81110.278,1.906,25,17
image/src/ICOFileHeaders,1.485,0.0,1.906,2,1
security/sandbox/chromium/base/win/scoped_handle,3.612,45451.81,1.906,19,16
caps/nsSystemPrincipal,1.446,37.285,1.906,3,21
media/omx-plugin/include/gb/stagefright/MetaData,2.391,246.361,1.906,11,5
editor/libeditor/html/nsTableEditor,1.48,380.022,1.906,4,29
netwerk/sctp/src/netinet/sctp_process_lock,1.345,0.0,0.492,0,0
media/webrtc/trunk/testing/gtest/src/gtest-internal-inl,3.981,426.598,1.906,17,21
intl/icu/source/common/normalizer2impl,2.189,68964.171,1.906,16,34
gfx/skia/trunk/src/core/SkPathMeasure,1.693,535.791,1.906,6,14
gfx/angle/src/libGLESv2/renderer/d3d11/shaders/compiled/passthroughrg2dui11ps,1.368,0.0,1.906,1,0
intl/icu/source/common/uobject,29.498,69830.98,1.906,225,7
content/media/gmp/gmp-api/gmp-audio-samples,2.298,8.0,1.906,2,2
usr/include/nl_types,1.345,0.0,0.492,0,0
netwerk/sctp/src/netinet/sctp_os_userspace,7.479,119584.828,1.906,9,16
security/sandbox/chromium/base/memory/singleton,2.334,4756.547,1.906,5,12
uriloader/exthandler/android/nsExternalSharingAppService,1.405,0.0,1.906,1,20
security/sandbox/win/src/restricted_token_unittest,1.345,0.0,1.906,0,6
mozilla/net/CookieServiceParent,1.345,0.0,0.492,0,0
content/canvas/src/WebGLExtensionInstancedArrays,1.4,13397.272,1.906,1,14
content/canvas/src/WebGLContextNotSupported,1.355,0.0,1.906,1,0
media/webrtc/trunk/webrtc/modules/remote_bitrate_estimator/tools/bwe_rtp,1.723,860.581,1.906,3,10
intl/uconv/ucvlatin/macgreek,1.345,0.0,0.492,0,0
media/webrtc/trunk/tools/gyp/test/same-source-file-name/src/prog2,1.345,0.0,1.906,0,1
mozilla/dom/Errors,1.345,0.0,0.492,0,0
media/webrtc/trunk/tools/gyp/test/make/noload/main,1.345,0.0,0.492,0,1
content/svg/content/src/SVGFEFloodElement,1.345,0.0,1.906,0,11
gfx/skia/trunk/include/effects/SkArithmeticMode,1.411,0.898,1.906,3,4
mozilla/DOMEventTargetHelper,1.345,0.0,0.492,0,0
gfx/graphite2/src/gr_char_info,1.443,2498.9,1.906,1,2
xpcom/reflect/xptcall/md/unix/xptcstubs_arm_netbsd,1.345,0.0,1.906,0,8
mozilla/_ipdltest/PTestActorPunningSubParent,1.345,0.0,0.492,0,0
toolkit/crashreporter/google-breakpad/src/processor/static_map_iterator,6.135,11.611,1.906,9,3
security/pkix/include/pkix/ScopedPtr,1.814,0.0,1.906,11,1
embedding/components/appstartup/src/nsIAppStartupNotifier,2.208,0.0,1.906,6,0
mozilla/dom/SVGViewElementBinding,1.345,0.0,0.492,0,0
editor/libeditor/base/nsIAbsorbingTransaction,1.43,0.0,1.906,2,3
toolkit/crashreporter/google-breakpad/src/processor/stackwalker_x86,1.634,501.039,1.906,5,26
intl/icu/source/tools/ctestfw/unicode/tstdtmod,1.618,3239.902,1.906,2,11
testing/gtest/gmock/src/gmock_main,1.345,0.0,1.906,0,4
other-licenses/7zstub/src/Common/Random,2.547,0.067,1.906,2,2
media/libvorbis/lib/vorbis_smallft,1.454,0.959,1.906,2,5
media/libjpeg/jdapistd,1.424,13159.291,1.906,2,6
netwerk/protocol/http/HttpLog,4.277,0.0,1.906,38,0
xpcom/reflect/xptcall/md/win32/xptcinvoke_x86_64,1.345,0.0,1.906,0,7
build/stlport/stlport/mem,1.345,0.0,1.906,0,3
content/svg/content/src/SVGAnimatedPreserveAspectRatio,2.247,3187.768,1.906,12,26
intl/icu/source/common/unicode/udata,7.126,82491.406,1.906,55,8
nsIWindowMediator,1.345,0.0,0.492,0,0
nsISelection,1.345,0.0,0.492,0,0
sensorsapi,1.345,0.0,0.492,0,0
xpcom/tests/TestQuickReturn,1.345,0.0,0.492,0,0
xpcom/glue/nsThreadIDs,1.345,0.0,0.492,0,0
gfx/cairo/cairo/src/cairo-surface-offset,1.4,13.833,1.906,1,17
mozilla/_ipdltest/PTestSelfManageRootParent,1.345,0.0,0.492,0,0
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/TestAllCodecs,1.457,101.724,1.906,2,24
media/webrtc/trunk/webrtc/video_engine/include/vie_image_process,2.749,6588.797,1.906,14,3
security/nss/cmd/lib/derprint,1.486,11.603,1.906,2,7
mozilla/ipc/CrossProcessMutex,1.345,0.0,0.492,0,0
js/ipc/JavaScriptLogging,1.521,2127.294,1.906,2,11
intl/uconv/ucvlatin/nsISOIR111ToUnicode,1.547,7.513,1.906,2,7
mozilla/dom/IccManager,1.345,0.0,0.492,0,0
js/src/vm/Shape,22.65,87141.19,1.906,56,41
ipc/testshell/TestShellParent,1.663,3533.516,1.906,4,11
intl/icu/source/tools/ctestfw/ucln_ct,1.345,0.0,1.906,0,1
Dvdmedia,1.345,0.0,0.492,0,0
mozilla/layers/CompositorTypes,1.345,0.0,0.492,0,0
mozilla/ipc/Transport_posix,1.345,0.0,0.492,0,0
toolkit/mozapps/update/updater/win_dirent,1.345,0.0,1.906,0,2
xpfe/appshell/src/nsContentTreeOwner,1.412,6.984,1.906,2,28
usr/include/arpa/nameser,1.345,0.0,0.492,0,0
content/media/android/AndroidMediaResourceServer,1.472,190.153,1.906,2,18
gfx/cairo/cairo/src/cairo-tee,1.648,2.315,1.906,3,1
toolkit/components/places/nsPlacesTables,2.018,0.0,1.906,3,1
mozilla/_ipdltest/PTestRacyReentryParent,1.345,0.0,0.492,0,0
content/media/fmp4/ffmpeg/FFmpegLibs,3.309,7512.783,1.906,2,6
media/webrtc/signaling/src/peerconnection/MediaStreamList,1.408,0.0,1.906,1,19
toolkit/crashreporter/google-breakpad/src/processor/basic_source_line_resolver_unittest,1.345,0.0,1.906,0,18
intl/strres/src/nsStringBundle,1.382,0.0,1.906,1,32
netwerk/protocol/rtsp/rtsp/AMPEG4ElementaryAssembler,2.146,244.378,1.906,14,20
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/mock/mock_delay_manager,1.382,5.065,1.906,1,8
media/webrtc/trunk/tools/gyp/test/win/uldi/a,2.489,0.0,0.492,1,0
mozilla/dom/HTMLObjectElementBinding,1.345,0.0,0.492,0,0
intl/icu/source/common/mutex,3.357,17335.253,1.906,29,5
media/webrtc/trunk/webrtc/system_wrappers/interface/thread_annotations,26.48,0.0,1.906,15,0
