bug_id,review_iterations,comment_times,comment_words,reviewer_cnt,reviewer_comment_rate,non_author_voters,neg_review_rate,response_delay,review_duration,feedback_count,neg_feedbacks,feedback_delay,review_status
1057840,1.0,1.0,5.0,1.0,0.0,1.0,0.0,18.57,18.57,0.0,0.0,-1.0,+
1270179,0.75,4.75,56.75,0.75,0.0,0.5,-0.25,4.0,4.0,0.25,0.0,4.08,+
1057848,1.0,4.0,80.0,1.0,0.0,1.0,0.0,0.59,0.59,0.0,0.0,-1.0,+
1270174,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.88,0.88,0.0,0.0,-1.0,+
1270173,0.5,1.0,24.0,0.5,0.0,0.0,-0.5,-0.5,-0.5,0.5,0.0,7.44,+
1245550,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.07,1.07,0.0,0.0,-1.0,+
1153964,1.0,2.0,33.0,1.0,0.0,1.0,0.0,1.45,1.45,0.0,0.0,-1.0,+
1115084,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.53,0.53,0.0,0.0,-1.0,+
1153963,0.5,1.5,24.5,0.5,0.0,0.5,-0.5,7.41,7.41,1.0,0.0,8.16,+
1256088,1.0,2.0,13.0,1.0,0.0,1.0,0.0,11.7,11.7,0.0,0.0,-1.0,+
1084513,1.0,0.0,0.0,1.0,0.0,1.0,0.0,69.03,69.03,0.0,0.0,-1.0,+
1122195,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.64,2.64,0.0,0.0,-1.0,+
1122194,2.0,10.0,64.0,2.0,0.0,2.0,0.0,19.37,92.76,0.0,0.0,-1.0,+
1072024,1.0,1.5,32.83,1.0,0.0,0.67,0.0,70.09,70.09,0.0,0.0,-1.0,+
1201374,1.0,2.5,43.5,1.0,0.0,1.0,0.0,8.47,8.47,0.5,0.0,-0.24,+
1111504,1.0,1.5,15.5,1.0,0.0,0.5,0.0,24.06,24.06,0.0,0.0,-1.0,+
1198582,1.0,0.0,0.0,1.0,1.0,1.0,0.0,85.47,85.47,0.0,0.0,-1.0,+
1209162,0.83,16.17,209.0,0.83,0.0,0.67,0.33,191.09,191.09,0.17,0.0,6.54,?
1198588,1.0,1.0,1.0,1.0,0.0,1.0,0.0,10.01,10.01,0.0,0.0,-1.0,+
1111508,1.0,2.0,13.0,1.0,0.0,1.0,0.0,1.91,1.91,0.0,0.0,-1.0,+
1174731,1.0,0.5,12.0,1.0,0.0,1.0,0.5,10.4,10.4,0.0,0.0,-1.0,?
1174733,1.33,9.67,102.0,1.33,0.0,1.0,0.17,60.28,95.48,0.0,0.0,-1.0,?
1285128,0.67,0.33,0.67,0.67,0.0,0.33,-0.33,24.73,24.73,0.67,0.0,2.9,+
1223863,1.0,2.0,26.0,1.0,0.0,1.0,0.0,11.43,11.43,0.0,0.0,-1.0,+
1285124,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.84,0.84,0.0,0.0,-1.0,+
1164340,1.0,6.0,83.0,1.0,0.0,1.0,0.0,0.33,0.33,0.0,0.0,-1.0,+
1239705,1.0,8.0,80.5,1.0,0.0,0.5,0.0,0.47,0.47,0.0,0.0,-1.0,+
1164343,0.5,18.1,153.0,0.5,0.0,0.3,-0.5,9.22,9.22,0.7,0.0,33.35,+
1127114,1.0,4.0,55.5,1.0,0.0,1.0,0.0,1.84,1.84,0.0,0.0,-1.0,+
1127115,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.65,0.65,0.0,0.0,-1.0,+
1141081,1.0,0.0,0.0,1.0,0.0,0.5,-0.08,12.53,8.63,0.0,0.0,-1.0,+
1199180,1.0,0.0,0.0,1.0,0.0,1.0,0.0,48.09,48.09,0.0,0.0,-1.0,+
1290513,1.0,0.0,0.0,1.0,1.0,1.0,0.0,64.15,64.15,0.0,0.0,-1.0,+
1165966,1.0,1.75,23.25,1.0,0.0,1.0,0.0,6.95,6.95,0.0,0.0,-1.0,+
1134150,1.0,0.0,0.0,1.0,1.0,1.0,0.0,11.94,11.94,0.0,0.0,-1.0,+
1050009,1.0,3.0,20.0,1.0,0.0,1.0,0.0,12.32,12.32,0.0,0.0,-1.0,+
1133746,2.0,10.0,74.0,2.0,0.0,2.0,0.0,29.91,212.21,0.0,0.0,-1.0,+
1133747,1.0,2.0,33.0,1.0,0.0,1.0,1.0,81.04,81.04,0.0,0.0,-1.0,?
1133748,1.0,2.0,3.0,1.0,0.0,1.0,0.0,3.83,3.83,0.0,0.0,-1.0,+
1050001,1.0,0.0,0.0,1.0,1.0,1.0,0.0,16.66,16.66,0.0,0.0,-1.0,+
1050000,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.11,0.11,0.0,0.0,-1.0,+
1114840,1.0,3.0,57.8,1.0,0.0,1.0,0.0,10.3,10.3,0.0,0.0,-1.0,+
1189852,1.0,0.0,0.0,1.0,1.0,1.0,0.0,60.08,60.08,0.0,0.0,-1.0,+
1126447,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.17,0.17,0.0,0.0,-1.0,+
1171520,1.0,1.5,16.5,1.0,0.0,1.0,0.5,11.56,11.56,0.5,0.0,-0.47,+
1093470,1.0,2.0,21.0,1.0,0.0,1.0,0.0,1.82,1.82,0.0,0.0,-1.0,+
1171528,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.04,0.04,0.0,0.0,-1.0,+
1234258,1.0,0.0,0.0,1.0,0.0,1.0,0.0,90.92,90.92,0.0,0.0,-1.0,?
1282472,1.0,1.0,13.0,1.0,0.0,0.33,0.0,6.54,6.54,0.0,0.0,-1.0,+
1282470,1.0,0.0,0.0,1.0,1.0,1.0,0.0,23.21,23.21,0.0,0.0,-1.0,+
1293141,1.0,2.0,3.0,1.0,0.0,1.0,0.0,171.01,171.01,0.0,0.0,-1.0,+
1234251,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.15,1.15,0.0,0.0,-1.0,+
1173969,1.0,0.0,0.0,1.0,1.0,1.0,0.0,312.53,312.53,0.0,0.0,-1.0,+
1077451,1.0,3.67,27.33,1.0,0.0,0.33,0.0,12.4,12.4,0.0,0.0,-1.0,+
1077457,1.0,6.0,7.0,1.0,0.0,1.0,0.0,0.36,0.36,0.0,0.0,-1.0,+
1077455,1.0,2.0,3.5,1.0,0.0,0.5,0.0,47.25,47.25,0.0,0.0,-1.0,+
1077454,1.0,3.0,20.0,1.0,0.0,1.0,0.0,3.6,3.6,0.0,0.0,-1.0,+
1077459,1.0,3.0,8.0,1.0,0.0,1.0,0.0,0.69,0.69,0.0,0.0,-1.0,+
1077458,1.0,9.5,65.25,1.0,0.0,0.25,0.0,0.46,0.46,0.0,0.0,-1.0,+
1112378,1.0,0.0,0.0,1.0,1.0,1.0,0.0,81.89,81.89,0.0,0.0,-1.0,+
1172387,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.49,0.49,0.0,0.0,-1.0,+
1172382,1.0,0.0,0.0,1.0,0.67,0.67,0.0,188.28,188.28,0.0,0.0,-1.0,+
1087190,0.67,3.0,24.67,0.67,0.0,0.33,-0.17,16.9,16.9,0.33,0.0,4.18,?
1224482,1.0,1.71,13.14,1.0,0.0,1.0,0.0,6.53,6.53,0.0,0.0,-1.0,+
1163520,1.0,1.5,5.5,1.0,0.0,1.0,0.0,3.38,3.38,0.0,0.0,-1.0,+
1134216,1.0,0.0,0.0,1.0,1.0,1.0,0.0,91.8,91.8,0.0,0.0,-1.0,+
