bug_id,max_pos,min_neg,overall,owner_pos,owner_neg,manager_pos,manager_neg
1045091,3,-1,4,1,-1,0,0
1041941,3,-4,0,3,-4,0,0
1042338,3,-2,5,1,-2,0,0
1042729,2,-3,-10,2,-2,0,0
1043802,2,-3,-2,1,-3,0,0
1043801,2,-2,1,0,0,0,0
1043805,3,-3,-7,0,0,0,0
1043808,2,-3,-6,0,0,0,0
1045739,3,-3,3,3,-3,2,-2
1041846,2,-2,0,1,-1,0,0
1045741,3,-1,2,0,0,0,0
1045749,2,-2,-2,0,0,0,0
1043963,2,-2,-1,2,-2,0,0
1045584,3,-3,-1,3,-3,0,0
1046010,2,-3,-3,0,0,0,0
1043337,3,-2,1,0,0,0,0
1043331,2,-2,0,0,0,0,0
1043111,1,-3,-2,0,0,0,0
1043110,3,-4,3,3,-3,0,0
1043448,3,-2,4,1,-2,0,0
1042342,1,-1,0,1,-1,0,0
1042833,2,-2,-1,2,-2,0,0
1042426,3,-4,-1,3,-2,1,-2
1042423,2,-2,0,2,-2,0,0
1042348,2,-2,-1,2,-2,1,-1
1045068,1,-1,0,1,-1,0,0
1046101,3,-2,2,3,-2,0,0
1045063,2,-3,-2,0,0,0,0
1045067,1,-1,0,1,-1,0,0
1045065,1,-1,0,1,-1,0,0
1043898,1,-2,-1,0,0,0,0
1043896,3,-3,3,3,-3,0,0
1044165,3,-2,2,2,-1,0,0
1044162,2,-3,-2,2,-2,0,0
1045329,2,-3,0,2,-3,0,0
1044365,3,-2,2,0,0,0,0
1042525,3,-3,-1,2,-1,0,0
1046210,2,-3,-2,0,0,0,0
1042908,2,-2,0,1,-2,0,0
1044762,1,-2,-1,0,0,0,0
1044488,3,-2,0,0,0,1,-1
1042519,3,-4,2,1,-1,0,0
1041845,3,-3,-3,0,0,0,0
1042517,3,-1,3,0,0,0,0
1042043,3,-2,3,0,0,0,0
1045993,3,-3,0,3,-3,0,0
1044505,3,-4,-5,0,0,0,0
1045994,3,-2,5,2,-1,0,0
1045390,2,-1,1,0,0,0,0
1045251,1,-1,0,0,0,0,0
1045848,2,-3,1,2,-1,0,0
1045847,3,-4,1,3,-4,0,0
1045969,2,-1,1,2,-1,0,0
1042602,3,-4,1,2,-1,0,0
1042765,1,-2,-2,1,-2,0,0
1043286,1,-1,0,1,-1,0,0
1042761,2,-1,1,0,0,0,0
1042609,1,-1,0,0,0,1,-1
1043537,3,-4,-3,1,-1,0,0
1044215,2,-2,0,0,0,0,0
1043505,3,-1,4,0,0,0,0
1046079,2,-1,1,2,-1,0,0
1045783,3,-2,7,3,-2,0,0
1042567,3,-4,-5,2,-4,2,-1
1043929,3,-2,4,0,0,0,0
1044182,3,-4,-4,3,-2,0,0
1044181,3,-4,-6,2,-4,0,0
1046143,2,-3,2,2,-3,1,-1
1042163,2,-3,1,2,-3,0,0
1044657,2,-2,1,2,-1,0,0
1043560,3,-4,2,2,-1,0,0
1043562,3,-5,7,2,-3,0,0
1041936,3,-2,-1,3,-2,0,0
1042469,2,-3,-1,2,-3,0,0
1042041,2,-2,-3,0,0,0,0
1043399,3,-2,7,1,-1,1,-1
1042308,2,-3,-2,0,0,0,0
1043390,4,-3,-2,3,-3,0,0
1042268,3,-2,-1,0,0,2,-1
1043644,2,-2,-1,2,-1,0,0
1042305,3,-4,-23,2,-1,2,-2
1046263,2,-4,-4,1,-1,0,0
1043859,3,-4,-11,1,-1,3,-2
1045100,3,-4,23,3,-4,0,0
1043853,1,-1,0,0,0,0,0
1043361,2,-3,1,0,0,0,0
1046221,2,-2,-1,2,-2,0,0
1045770,3,-4,-1,3,-3,0,0
1043025,2,-2,0,1,-1,0,0
1044322,3,-4,-10,3,-2,1,-2
1044049,1,-1,0,1,-1,0,0
1044738,2,-1,1,1,-1,0,0
1043022,3,-4,-4,0,0,1,-2
1044736,4,-3,-4,3,-3,0,0
1043787,3,-5,-1,1,-2,0,0
1044046,1,-1,0,0,0,0,0
1044047,1,-1,0,0,0,0,0
