bug_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree
1048246,1032.29,1.29,61.04,1.29,0.77,13.71,389126.24,1.79,77.09,35.62
1232269,2119.0,4.0,82.0,4.0,0.16,6.71,142428.42,1.69,26.0,54.0
1232268,403.87,1.09,2.83,0.91,1.2,1.46,142477.66,1.26,1.5,6.06
1187103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1295818,849.0,2.0,71.0,2.67,0.38,62.21,174761.98,1.61,317.5,26.5
1193567,1752.0,6.0,71.0,6.0,0.1,3.03,158228.0,1.76,22.0,65.0
1193564,638.0,4.0,29.0,4.0,0.08,1.47,13846.0,1.76,3.0,12.0
1159109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1159101,997.34,2.22,33.5,2.34,0.47,3.44,54805.9,1.83,22.78,49.56
1281991,1352.33,2.0,58.33,2.0,0.17,10.92,1002158.29,1.65,56.0,70.67
1151359,1922.75,2.67,66.17,3.42,0.6,7.7,669749.0,1.58,41.29,53.21
1281997,824.33,2.0,46.0,1.67,0.19,1.85,4558.71,1.24,4.33,10.67
1281999,214.8,1.6,14.6,1.4,0.24,1.16,0.0,1.65,0.0,18.43
1281998,1981.32,2.47,64.21,2.84,0.36,2.15,101122.17,0.79,5.87,19.65
1151351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101194,793.0,3.0,35.0,3.0,0.2,1.39,0.0,1.88,1.0,25.0
1101195,1383.0,3.0,52.0,5.0,0.15,21.31,3121237.93,1.91,62.0,50.0
1101196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1208055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1123080,1988.5,3.0,87.5,4.0,0.13,9.09,656146.6,1.84,61.0,35.33
1123084,851.0,2.0,58.0,3.0,0.11,5.82,556892.46,1.87,35.0,35.0
1112925,1572.0,7.0,37.0,8.0,0.23,1.71,6836.89,1.88,6.5,40.5
1112920,828.0,2.0,60.0,3.0,0.2,10.01,142977.56,1.65,145.0,31.0
1112922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270001,1581.5,4.0,21.75,3.5,3.0,7.8,17627.78,1.4,50.4,24.0
1161170,177.25,0.5,1.0,0.25,10.27,104.0,539719.67,1.65,93.8,19.8
1270005,696.0,5.1,20.0,3.5,0.18,1.58,91501.72,1.64,6.73,46.27
1270004,1163.33,5.0,31.67,4.33,0.07,3.39,28080.09,1.47,6.0,2.86
1270009,869.0,1.0,18.0,1.0,0.74,5.07,57862.59,1.64,43.0,29.0
1068838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150855,8397.0,9.0,186.0,6.0,0.24,4.01,67772.74,1.79,15.0,48.0
1054892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1169769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245421,531.0,1.0,28.0,1.0,0.12,1.81,70.23,1.66,5.0,11.0
1245420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281665,1596.0,5.0,60.0,4.5,0.11,1.59,29696.9,1.65,5.0,53.5
1245422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1214989,389.59,1.39,18.78,1.04,0.55,2.47,129893.68,1.7,10.75,16.11
1064737,674.0,2.86,26.79,3.57,0.19,6.81,524231.58,1.78,33.05,33.85
1214981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160801,1190.0,14.0,14.0,6.0,0.36,1.35,6877.19,1.13,1.0,9.5
1041893,5012.0,7.0,93.0,6.0,0.25,6.16,233326.15,1.96,40.0,73.0
1041894,2692.2,2.8,77.6,3.2,0.56,13.07,872939.54,1.96,69.0,64.6
1209095,688.0,2.0,64.0,3.0,0.04,1.45,3096.84,1.69,4.0,32.5
1249930,595.0,3.0,38.0,4.0,0.15,4.9,41979.1,1.66,9.0,26.0
1249937,1458.33,2.33,78.33,3.33,0.35,6.19,283786.82,0.96,13.71,20.14
1209091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1249934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1175807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231793,413.78,2.67,19.22,2.0,0.41,2.07,455852.35,1.44,6.27,9.18
1175800,5902.0,2.0,346.0,4.0,0.06,1.98,45830.25,1.13,10.5,36.5
1175803,1796.44,3.89,72.33,3.33,0.19,1.98,75079.63,1.65,7.18,32.91
1283744,826.52,1.72,44.62,1.93,0.17,2.2,63964.03,1.47,4.08,20.02
1194518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1194519,809.17,2.5,43.5,2.83,0.14,1.37,2495.99,1.76,1.0,26.5
1237564,3952.0,4.0,212.0,4.0,0.12,1.78,16969.01,1.07,5.5,28.5
1051114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051115,47.0,1.0,1.0,0.0,0.69,5.66,44608.88,1.96,10.0,35.0
1051118,303.8,1.6,17.4,1.8,0.14,1.49,1639.91,1.21,1.7,12.2
1127351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231243,5930.0,3.0,271.0,5.0,0.14,25.46,2295617.94,1.69,113.0,122.0
1124614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1124615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1124610,438.0,3.0,21.0,3.0,0.26,1.62,4098.81,1.18,4.0,10.0
1231245,346.5,2.5,17.0,2.0,0.07,10.51,933910.14,1.74,78.0,46.0
1124619,1232.33,2.67,69.33,3.0,0.28,16.6,56494.06,1.87,50.0,32.75
1164274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239093,852.0,9.0,22.0,3.0,0.07,1.33,147.37,1.69,2.0,23.0
1133104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1210307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1171323,844.5,1.5,29.0,2.0,0.94,22.32,66044.63,1.79,95.0,8.0
1171328,3071.75,4.5,92.75,5.0,0.34,4.78,74181.27,1.79,33.25,58.5
1272537,904.0,2.67,5.0,1.0,0.18,12.85,7948.28,1.64,79.67,12.33
1272531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1272530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1271848,1438.25,1.0,76.25,1.25,2.24,26.66,323037.64,1.4,127.0,26.2
1050795,324.0,2.0,17.0,1.67,0.38,256.11,5860696.11,1.96,230.33,16.67
1271847,886.0,5.0,39.0,3.0,0.03,1.21,1055.11,1.64,1.0,18.0
1271841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1276073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1126754,3409.0,3.33,137.67,3.33,0.31,3.03,16573.58,1.52,9.0,21.25
1126756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1116124,1734.0,3.0,96.0,3.0,0.16,1.34,0.0,1.87,0.0,35.0
1250171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1171499,133.5,1.5,7.5,0.5,0.15,1.45,9125.12,1.79,2.0,13.0
1280216,1220.86,4.14,45.71,4.0,0.11,1.26,12108.73,1.29,1.73,16.45
1077214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1210302,2989.87,5.07,107.73,4.6,0.3,17.05,1822805.58,1.63,154.0,49.33
1171496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1243962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1243963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1243961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1243964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1175371,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.48,0.0,0.0
1076161,1183.33,2.0,75.67,3.0,0.2,5.79,72049.81,1.92,27.67,36.67
1076163,2234.27,2.81,93.15,3.62,0.45,7.35,636337.08,1.76,36.57,47.7
1047828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
